"p, q, n, Phi, e, k, d",Totient,Binary Totient,# Hot Bits,Transparency Percentage
"[17, 257, 4369, 4096, 257, 241, 3841]",4096,0b1000000000000,1,99.95
"[17, 257, 4369, 4096, 65537, 16, 1]",4096,0b1000000000000,1,99.95
"[5, 257, 1285, 1024, 257, 193, 769]",1024,0b10000000000,1,99.84
"[5, 257, 1285, 1024, 65537, 64, 1]",1024,0b10000000000,1,99.84
"[3, 257, 771, 512, 257, 129, 257]",512,0b1000000000,1,99.74
"[3, 257, 771, 512, 65537, 128, 1]",512,0b1000000000,1,99.74
"[5, 17, 85, 64, 17, 13, 49]",64,0b1000000,1,97.62
"[5, 17, 85, 64, 257, 4, 1]",64,0b1000000,1,97.62
"[5, 17, 85, 64, 65537, 1024, 1]",64,0b1000000,1,97.62
"[3, 17, 51, 32, 17, 9, 17]",32,0b100000,1,96
"[3, 17, 51, 32, 257, 8, 1]",32,0b100000,1,96
"[3, 17, 51, 32, 65537, 2048, 1]",32,0b100000,1,96
"[3, 5, 15, 8, 5, 3, 5]",8,0b1000,1,85.71
"[3, 5, 15, 8, 17, 2, 1]",8,0b1000,1,85.71
"[3, 5, 15, 8, 257, 32, 1]",8,0b1000,1,85.71
"[3, 5, 15, 8, 65537, 8192, 1]",8,0b1000,1,85.71
"[3, 5, 15, 8, 3, 1, 3]",8,0b1000,1,42.86
"[5, 17, 85, 64, 5, 1, 13]",64,0b1000000,1,26.19
"[3, 17, 51, 32, 5, 2, 13]",32,0b100000,1,24
"[3, 17, 51, 32, 3, 1, 11]",32,0b100000,1,12
"[5, 17, 85, 64, 3, 2, 43]",64,0b1000000,1,7.14
"[17, 257, 4369, 4096, 17, 1, 241]",4096,0b1000000000000,1,6.55
"[5, 257, 1285, 1024, 17, 4, 241]",1024,0b10000000000,1,6.39
"[3, 257, 771, 512, 17, 8, 241]",512,0b1000000000,1,6.23
"[5, 257, 1285, 1024, 5, 1, 205]",1024,0b10000000000,1,1.71
"[3, 257, 771, 512, 5, 2, 205]",512,0b1000000000,1,1.56
"[3, 257, 771, 512, 3, 1, 171]",512,0b1000000000,1,0.78
"[17, 257, 4369, 4096, 5, 4, 3277]",4096,0b1000000000000,1,0.5
"[5, 257, 1285, 1024, 3, 2, 683]",1024,0b10000000000,1,0.47
"[17, 257, 4369, 4096, 3, 2, 2731]",4096,0b1000000000000,1,0.14
"[7, 257, 1799, 1536, 257, 43, 257]",1536,0b11000000000,2,42.71
"[7, 257, 1799, 1536, 65537, 43734, 1025]",1536,0b11000000000,2,42.71
"[7, 17, 119, 96, 17, 3, 17]",96,0b1100000,2,40.68
"[7, 17, 119, 96, 257, 174, 65]",96,0b1100000,2,40.68
"[7, 17, 119, 96, 65537, 44374, 65]",96,0b1100000,2,40.68
"[13, 257, 3341, 3072, 257, 150, 1793]",3072,0b110000000000,2,38.38
"[13, 257, 3341, 3072, 65537, 21867, 1025]",3072,0b110000000000,2,38.38
"[13, 17, 221, 192, 17, 10, 113]",192,0b11000000,2,37.27
"[13, 17, 221, 192, 257, 87, 65]",192,0b11000000,2,37.27
"[13, 17, 221, 192, 65537, 22187, 65]",192,0b11000000,2,37.27
"[5, 7, 35, 24, 5, 1, 5]",24,0b11000,2,35.29
"[5, 7, 35, 24, 17, 12, 17]",24,0b11000,2,35.29
"[5, 7, 35, 24, 257, 182, 17]",24,0b11000,2,35.29
"[5, 7, 35, 24, 65537, 46422, 17]",24,0b11000,2,35.29
"[5, 13, 65, 48, 5, 3, 29]",48,0b110000,2,34.38
"[5, 13, 65, 48, 17, 6, 17]",48,0b110000,2,34.38
"[5, 13, 65, 48, 257, 91, 17]",48,0b110000,2,34.38
"[5, 13, 65, 48, 65537, 23211, 17]",48,0b110000,2,34.38
"[97, 257, 24929, 24576, 257, 83, 7937]",24576,0b110000000000000,2,34.01
"[97, 257, 24929, 24576, 65537, 43694, 16385]",24576,0b110000000000000,2,34.01
"[17, 97, 1649, 1536, 257, 43, 257]",1536,0b11000000000,2,33.86
"[17, 97, 1649, 1536, 65537, 43734, 1025]",1536,0b11000000000,2,33.86
"[193, 257, 49601, 49152, 257, 170, 32513]",49152,0b1100000000000000,2,33.67
"[193, 257, 49601, 49152, 65537, 21847, 16385]",49152,0b1100000000000000,2,33.67
"[17, 193, 3281, 3072, 257, 150, 1793]",3072,0b110000000000,2,33.6
"[17, 193, 3281, 3072, 65537, 21867, 1025]",3072,0b110000000000,2,33.6
"[5, 97, 485, 384, 257, 172, 257]",384,0b110000000,2,33.47
"[5, 97, 485, 384, 65537, 43862, 257]",384,0b110000000,2,33.47
"[5, 193, 965, 768, 257, 86, 257]",768,0b1100000000,2,33.4
"[5, 193, 965, 768, 65537, 21931, 257]",768,0b1100000000,2,33.4
"[3, 193, 579, 384, 257, 172, 257]",384,0b110000000,2,33.22
"[3, 193, 579, 384, 65537, 43862, 257]",384,0b110000000,2,33.22
"[3, 97, 291, 192, 257, 87, 65]",192,0b11000000,2,33.1
"[3, 97, 291, 192, 65537, 22187, 65]",192,0b11000000,2,33.1
"[3, 13, 39, 24, 5, 1, 5]",24,0b11000,2,31.58
"[3, 13, 39, 24, 17, 12, 17]",24,0b11000,2,31.58
"[3, 13, 39, 24, 257, 182, 17]",24,0b11000,2,31.58
"[3, 13, 39, 24, 65537, 46422, 17]",24,0b11000,2,31.58
"[3, 7, 21, 12, 3, 1, 24]",12,0b1100,2,30
"[3, 7, 21, 12, 5, 2, 5]",12,0b1100,2,30
"[3, 7, 21, 12, 17, 7, 5]",12,0b1100,2,30
"[3, 7, 21, 12, 257, 107, 5]",12,0b1100,2,30
"[3, 7, 21, 12, 65537, 27307, 5]",12,0b1100,2,30
"[11, 257, 2827, 2560, 257, 180, 1793]",2560,0b101000000000,2,27.18
"[11, 257, 2827, 2560, 65537, 13133, 513]",2560,0b101000000000,2,27.18
"[11, 17, 187, 160, 17, 12, 113]",160,0b10100000,2,25.81
"[11, 17, 187, 160, 257, 53, 33]",160,0b10100000,2,25.81
"[11, 17, 187, 160, 65537, 13517, 33]",160,0b10100000,2,25.81
"[5, 11, 55, 40, 5, 1, 56]",40,0b101000,2,22.22
"[5, 11, 55, 40, 17, 14, 33]",40,0b101000,2,22.22
"[5, 11, 55, 40, 257, 212, 33]",40,0b101000,2,22.22
"[5, 11, 55, 40, 65537, 54068, 33]",40,0b101000,2,22.22
"[41, 257, 10537, 10240, 257, 45, 1793]",10240,0b10100000000000,2,21.92
"[41, 257, 10537, 10240, 65537, 52436, 8193]",10240,0b10100000000000,2,21.92
"[17, 41, 697, 640, 17, 3, 113]",640,0b1010000000,2,21.55
"[17, 41, 697, 640, 257, 206, 513]",640,0b1010000000,2,21.55
"[17, 41, 697, 640, 65537, 52532, 513]",640,0b1010000000,2,21.55
"[5, 41, 205, 160, 17, 12, 113]",160,0b10100000,2,20.59
"[5, 41, 205, 160, 257, 53, 33]",160,0b10100000,2,20.59
"[5, 41, 205, 160, 65537, 13517, 33]",160,0b10100000,2,20.59
"[3, 41, 123, 80, 17, 7, 33]",80,0b1010000,2,19.67
"[3, 41, 123, 80, 257, 106, 33]",80,0b1010000,2,19.67
"[3, 41, 123, 80, 65537, 27034, 33]",80,0b1010000,2,19.67
"[3, 11, 33, 20, 3, 1, 7]",20,0b10100,2,18.75
"[3, 11, 33, 20, 5, 1, 36]",20,0b10100,2,18.75
"[3, 11, 33, 20, 17, 11, 13]",20,0b10100,2,18.75
"[3, 11, 33, 20, 257, 167, 13]",20,0b10100,2,18.75
"[3, 11, 33, 20, 65537, 42599, 13]",20,0b10100,2,18.75
"[5, 7, 35, 24, 3, 1, 40]",24,0b11000,2,17.65
"[17, 97, 1649, 1536, 17, 14, 1265]",1536,0b11000000000,2,17.35
"[5, 97, 485, 384, 17, 5, 113]",384,0b110000000,2,16.94
"[3, 97, 291, 192, 17, 10, 113]",192,0b11000000,2,16.55
"[3, 13, 39, 24, 3, 1, 40]",24,0b11000,2,15.79
"[19, 257, 4883, 4608, 257, 100, 1793]",4608,0b1001000000000,2,15.73
"[19, 257, 4883, 4608, 65537, 14578, 1025]",4608,0b1001000000000,2,15.73
"[17, 19, 323, 288, 17, 1, 17]",288,0b100100000,2,14.91
"[17, 19, 323, 288, 257, 58, 65]",288,0b100100000,2,14.91
"[17, 19, 323, 288, 65537, 36637, 161]",288,0b100100000,2,14.91
"[7, 193, 1351, 1152, 257, 143, 641]",1152,0b10010000000,2,14.22
"[7, 193, 1351, 1152, 65537, 58312, 1025]",1152,0b10010000000,2,14.22
"[7, 97, 679, 576, 257, 29, 65]",576,0b1001000000,2,14.16
"[7, 97, 679, 576, 65537, 51087, 449]",576,0b1001000000,2,14.16
"[37, 257, 9509, 9216, 257, 50, 1793]",9216,0b10010000000000,2,13.48
"[37, 257, 9509, 9216, 65537, 7289, 1025]",9216,0b10010000000000,2,13.48
"[7, 13, 91, 72, 5, 2, 29]",72,0b1001000,2,13.33
"[7, 13, 91, 72, 17, 4, 17]",72,0b1001000,2,13.33
"[7, 13, 91, 72, 257, 232, 65]",72,0b1001000,2,13.33
"[7, 13, 91, 72, 65537, 15474, 17]",72,0b1001000,2,13.33
"[17, 37, 629, 576, 17, 9, 305]",576,0b1001000000,2,13.06
"[17, 37, 629, 576, 257, 29, 65]",576,0b1001000000,2,13.06
"[17, 37, 629, 576, 65537, 51087, 449]",576,0b1001000000,2,13.06
"[13, 97, 1261, 1152, 257, 143, 641]",1152,0b10010000000,2,12.86
"[13, 97, 1261, 1152, 65537, 58312, 1025]",1152,0b10010000000,2,12.86
"[13, 193, 2509, 2304, 257, 200, 1793]",2304,0b100100000000,2,12.84
"[13, 193, 2509, 2304, 65537, 29156, 1025]",2304,0b100100000000,2,12.84
"[5, 19, 95, 72, 5, 2, 29]",72,0b1001000,2,12.77
"[5, 19, 95, 72, 17, 4, 17]",72,0b1001000,2,12.77
"[5, 19, 95, 72, 257, 232, 65]",72,0b1001000,2,12.77
"[5, 19, 95, 72, 65537, 15474, 17]",72,0b1001000,2,12.77
"[73, 257, 18761, 18432, 257, 25, 1793]",18432,0b100100000000000,2,12.31
"[73, 257, 18761, 18432, 65537, 36413, 10241]",18432,0b100100000000000,2,12.31
"[17, 73, 1241, 1152, 17, 13, 881]",1152,0b10010000000,2,12.1
"[17, 73, 1241, 1152, 257, 143, 641]",1152,0b10010000000,2,12.1
"[17, 73, 1241, 1152, 65537, 58312, 1025]",1152,0b10010000000,2,12.1
"[5, 37, 185, 144, 5, 1, 29]",144,0b10010000,2,11.96
"[5, 37, 185, 144, 17, 2, 17]",144,0b10010000,2,11.96
"[5, 37, 185, 144, 257, 116, 65]",144,0b10010000,2,11.96
"[5, 37, 185, 144, 65537, 7737, 17]",144,0b10010000,2,11.96
"[5, 73, 365, 288, 17, 1, 17]",288,0b100100000,2,11.54
"[5, 73, 365, 288, 257, 58, 65]",288,0b100100000,2,11.54
"[5, 73, 365, 288, 65537, 36637, 161]",288,0b100100000,2,11.54
"[97, 193, 18721, 18432, 257, 25, 1793]",18432,0b100100000000000,2,11.44
"[97, 193, 18721, 18432, 65537, 36413, 10241]",18432,0b100100000000000,2,11.44
"[5, 11, 55, 40, 3, 2, 27]",40,0b101000,2,11.11
"[3, 73, 219, 144, 17, 2, 17]",144,0b10010000,2,11.01
"[3, 73, 219, 144, 257, 116, 65]",144,0b10010000,2,11.01
"[3, 73, 219, 144, 65537, 7737, 17]",144,0b10010000,2,11.01
"[3, 37, 111, 72, 5, 2, 29]",72,0b1001000,2,10.91
"[3, 37, 111, 72, 17, 4, 17]",72,0b1001000,2,10.91
"[3, 37, 111, 72, 257, 232, 65]",72,0b1001000,2,10.91
"[3, 37, 111, 72, 65537, 15474, 17]",72,0b1001000,2,10.91
"[5, 41, 205, 160, 5, 1, 224]",160,0b10100000,2,10.78
"[3, 19, 57, 36, 3, 1, 60]",36,0b100100,2,10.71
"[3, 19, 57, 36, 5, 4, 29]",36,0b100100,2,10.71
"[3, 19, 57, 36, 17, 8, 17]",36,0b100100,2,10.71
"[3, 19, 57, 36, 257, 207, 29]",36,0b100100,2,10.71
"[3, 19, 57, 36, 65537, 30948, 17]",36,0b100100,2,10.71
"[7, 17, 119, 96, 5, 4, 77]",96,0b1100000,2,10.17
"[13, 17, 221, 192, 5, 2, 77]",192,0b11000000,2,10
"[3, 41, 123, 80, 5, 1, 128]",80,0b1010000,2,9.84
"[5, 13, 65, 48, 3, 1, 80]",48,0b110000,2,9.38
"[17, 193, 3281, 3072, 17, 7, 1265]",3072,0b110000000000,2,8.72
"[5, 193, 965, 768, 17, 11, 497]",768,0b1100000000,2,8.51
"[3, 193, 579, 384, 17, 5, 113]",384,0b110000000,2,8.3
"[7, 97, 679, 576, 17, 9, 305]",576,0b1001000000,2,7.08
"[7, 13, 91, 72, 3, 1, 96]",72,0b1001000,2,6.67
"[137, 257, 35209, 34816, 257, 240, 32513]",34816,0b1000100000000000,2,6.56
"[137, 257, 35209, 34816, 65537, 3857, 2049]",34816,0b1000100000000000,2,6.56
"[13, 97, 1261, 1152, 17, 13, 881]",1152,0b10010000000,2,6.51
"[11, 17, 187, 160, 5, 1, 192]",160,0b10100000,2,6.45
"[17, 137, 2329, 2176, 17, 1, 2432]",2176,0b100010000000,2,6.44
"[17, 137, 2329, 2176, 257, 242, 2049]",2176,0b100010000000,2,6.44
"[17, 137, 2329, 2176, 65537, 61712, 2049]",2176,0b100010000000,2,6.44
"[5, 19, 95, 72, 3, 1, 96]",72,0b1001000,2,6.38
"[5, 137, 685, 544, 17, 1, 704]",544,0b1000100000,2,6.14
"[5, 137, 685, 544, 257, 197, 417]",544,0b1000100000,2,6.14
"[5, 137, 685, 544, 65537, 50237, 417]",544,0b1000100000,2,6.14
"[5, 73, 365, 288, 5, 3, 173]",288,0b100100000,2,6.04
"[3, 137, 411, 272, 17, 1, 416]",272,0b100010000,2,5.85
"[3, 137, 411, 272, 257, 137, 145]",272,0b100010000,2,5.85
"[3, 137, 411, 272, 65537, 34937, 145]",272,0b100010000,2,5.85
"[3, 73, 219, 144, 5, 1, 29]",144,0b10010000,2,5.5
"[3, 37, 111, 72, 3, 1, 120]",72,0b1001000,2,5.45
"[7, 17, 119, 96, 3, 1, 128]",96,0b1100000,2,5.08
"[3, 41, 123, 80, 3, 1, 27]",80,0b1010000,2,4.92
"[5, 97, 485, 384, 5, 1, 77]",384,0b110000000,2,4.55
"[67, 257, 17219, 16896, 257, 74, 4865]",16896,0b100001000000000,2,4.46
"[67, 257, 17219, 16896, 65537, 57597, 14849]",16896,0b100001000000000,2,4.46
"[23, 193, 4439, 4224, 257, 39, 641]",4224,0b1000010000000,2,4.33
"[23, 193, 4439, 4224, 65537, 33777, 2177]",4224,0b1000010000000,2,4.33
"[23, 97, 2231, 2112, 257, 78, 641]",2112,0b100001000000,2,4.3
"[23, 97, 2231, 2112, 65537, 2017, 65]",2112,0b100001000000,2,4.3
"[17, 67, 1139, 1056, 17, 8, 497]",1056,0b10000100000,2,4.22
"[17, 67, 1139, 1056, 257, 156, 641]",1056,0b10000100000,2,4.22
"[17, 67, 1139, 1056, 65537, 4034, 65]",1056,0b10000100000,2,4.22
"[3, 97, 291, 192, 5, 2, 77]",192,0b11000000,2,4.14
"[13, 23, 299, 264, 5, 1, 53]",264,0b100001000,2,4.03
"[13, 23, 299, 264, 17, 15, 233]",264,0b100001000,2,4.03
"[13, 23, 299, 264, 257, 110, 113]",264,0b100001000,2,4.03
"[13, 23, 299, 264, 65537, 16136, 65]",264,0b100001000,2,4.03
"[7, 353, 2471, 2112, 257, 78, 641]",2112,0b100001000000,2,3.89
"[7, 353, 2471, 2112, 65537, 2017, 65]",2112,0b100001000000,2,3.89
"[7, 89, 623, 528, 17, 16, 497]",528,0b1000010000,2,3.86
"[7, 89, 623, 528, 257, 55, 113]",528,0b1000010000,2,3.86
"[7, 89, 623, 528, 65537, 8068, 65]",528,0b1000010000,2,3.86
"[7, 23, 161, 132, 3, 1, 176]",132,0b10000100,2,3.75
"[7, 23, 161, 132, 5, 2, 53]",132,0b10000100,2,3.75
"[7, 23, 161, 132, 17, 13, 101]",132,0b10000100,2,3.75
"[7, 23, 161, 132, 257, 220, 113]",132,0b10000100,2,3.75
"[7, 23, 161, 132, 65537, 32272, 65]",132,0b10000100,2,3.75
"[17, 19, 323, 288, 5, 3, 173]",288,0b100100000,2,3.73
"[13, 89, 1157, 1056, 17, 8, 497]",1056,0b10000100000,2,3.63
"[13, 89, 1157, 1056, 257, 156, 641]",1056,0b10000100000,2,3.63
"[13, 89, 1157, 1056, 65537, 4034, 65]",1056,0b10000100000,2,3.63
"[5, 67, 335, 264, 5, 1, 53]",264,0b100001000,2,3.59
"[5, 67, 335, 264, 17, 15, 233]",264,0b100001000,2,3.59
"[5, 67, 335, 264, 257, 110, 113]",264,0b100001000,2,3.59
"[5, 67, 335, 264, 65537, 16136, 65]",264,0b100001000,2,3.59
"[7, 193, 1351, 1152, 17, 13, 881]",1152,0b10010000000,2,3.56
"[13, 353, 4589, 4224, 257, 39, 641]",4224,0b1000010000000,2,3.53
"[13, 353, 4589, 4224, 65537, 33777, 2177]",4224,0b1000010000000,2,3.53
"[17, 37, 629, 576, 5, 4, 461]",576,0b1001000000,2,3.5
"[89, 97, 8633, 8448, 257, 148, 4865]",8448,0b10000100000000,2,3.41
"[89, 97, 8633, 8448, 65537, 49657, 6401]",8448,0b10000100000000,2,3.41
"[89, 193, 17177, 16896, 257, 74, 4865]",16896,0b100001000000000,2,3.39
"[89, 193, 17177, 16896, 65537, 57597, 14849]",16896,0b100001000000000,2,3.39
"[13, 193, 2509, 2304, 17, 15, 2033]",2304,0b100100000000,2,3.27
"[5, 37, 185, 144, 3, 1, 192]",144,0b10010000,2,3.26
"[11, 17, 187, 160, 3, 2, 107]",160,0b10100000,2,3.23
"[5, 137, 685, 544, 5, 1, 109]",544,0b1000100000,2,3.22
"[97, 353, 34241, 33792, 257, 37, 4865]",33792,0b1000010000000000,2,3.17
"[97, 353, 34241, 33792, 65537, 61567, 31745]",33792,0b1000010000000000,2,3.17
"[17, 41, 697, 640, 5, 1, 768]",640,0b1010000000,2,3.16
"[193, 353, 68129, 67584, 257, 147, 38657]",67584,0b10000100000000000,2,3.14
"[193, 353, 68129, 67584, 65537, 63552, 65537]",67584,0b10000100000000000,2,3.14
"[3, 67, 201, 132, 3, 1, 220]",132,0b10000100,2,3
"[3, 67, 201, 132, 5, 2, 53]",132,0b10000100,2,3
"[3, 67, 201, 132, 17, 13, 101]",132,0b10000100,2,3
"[3, 67, 201, 132, 257, 220, 113]",132,0b10000100,2,3
"[3, 67, 201, 132, 65537, 32272, 65]",132,0b10000100,2,3
"[5, 41, 205, 160, 3, 2, 107]",160,0b10100000,2,2.94
"[3, 137, 411, 272, 5, 2, 109]",272,0b100010000,2,2.93
"[3, 73, 219, 144, 3, 1, 240]",144,0b10010000,2,2.75
"[13, 17, 221, 192, 3, 1, 256]",192,0b11000000,2,2.73
"[7, 257, 1799, 1536, 17, 14, 1265]",1536,0b11000000000,2,2.67
"[13, 257, 3341, 3072, 17, 7, 1265]",3072,0b110000000000,2,2.46
"[5, 193, 965, 768, 5, 3, 461]",768,0b1100000000,2,2.28
"[131, 257, 33667, 33280, 257, 172, 22273]",33280,0b1000001000000000,2,2.28
"[131, 257, 33667, 33280, 65537, 46382, 23553]",33280,0b1000001000000000,2,2.28
"[17, 131, 2227, 2080, 17, 14, 1713]",2080,0b100000100000,2,2.16
"[17, 131, 2227, 2080, 257, 182, 1473]",2080,0b100000100000,2,2.16
"[17, 131, 2227, 2080, 65537, 21205, 673]",2080,0b100000100000,2,2.16
"[23, 97, 2231, 2112, 17, 4, 497]",2112,0b100001000000,2,2.15
"[3, 193, 579, 384, 5, 1, 77]",384,0b110000000,2,2.08
"[3, 97, 291, 192, 3, 1, 320]",192,0b11000000,2,2.07
"[11, 53, 583, 520, 5, 1, 624]",520,0b1000001000,2,2.06
"[11, 53, 583, 520, 17, 5, 153]",520,0b1000001000,2,2.06
"[11, 53, 583, 520, 257, 214, 433]",520,0b1000001000,2,2.06
"[11, 53, 583, 520, 65537, 19283, 153]",520,0b1000001000,2,2.06
"[13, 23, 299, 264, 3, 1, 352]",264,0b100001000,2,2.01
"[7, 353, 2471, 2112, 17, 4, 497]",2112,0b100001000000,2,1.94
"[7, 89, 623, 528, 5, 3, 317]",528,0b1000010000,2,1.93
"[41, 53, 2173, 2080, 17, 14, 1713]",2080,0b100000100000,2,1.93
"[41, 53, 2173, 2080, 257, 182, 1473]",2080,0b100000100000,2,1.93
"[41, 53, 2173, 2080, 65537, 21205, 673]",2080,0b100000100000,2,1.93
"[13, 89, 1157, 1056, 5, 4, 845]",1056,0b10000100000,2,1.9
"[17, 19, 323, 288, 3, 1, 384]",288,0b100100000,2,1.86
"[5, 131, 655, 520, 5, 1, 728]",520,0b1000001000,2,1.83
"[5, 131, 655, 520, 17, 5, 153]",520,0b1000001000,2,1.83
"[5, 131, 655, 520, 257, 214, 433]",520,0b1000001000,2,1.83
"[5, 131, 655, 520, 65537, 19283, 153]",520,0b1000001000,2,1.83
"[5, 67, 335, 264, 3, 1, 352]",264,0b100001000,2,1.8
"[13, 353, 4589, 4224, 17, 2, 497]",4224,0b1000010000000,2,1.79
"[7, 97, 679, 576, 5, 4, 461]",576,0b1001000000,2,1.77
"[17, 73, 1241, 1152, 5, 2, 461]",1152,0b10010000000,2,1.77
"[13, 97, 1261, 1152, 5, 2, 461]",1152,0b10010000000,2,1.75
"[89, 97, 8633, 8448, 17, 1, 497]",8448,0b10000100000000,2,1.74
"[257, 521, 133897, 133120, 257, 43, 22273]",133120,0b100000100000000000,2,1.73
"[257, 521, 133897, 133120, 65537, 44364, 90113]",133120,0b100000100000000000,2,1.73
"[11, 257, 2827, 2560, 17, 5, 753]",2560,0b101000000000,2,1.7
"[17, 521, 8857, 8320, 17, 12, 5873]",8320,0b10000010000000,2,1.69
"[17, 521, 8857, 8320, 257, 174, 5633]",8320,0b10000010000000,2,1.69
"[17, 521, 8857, 8320, 65537, 54454, 6913]",8320,0b10000010000000,2,1.69
"[5, 73, 365, 288, 3, 1, 384]",288,0b100100000,2,1.65
"[5, 521, 2605, 2080, 17, 14, 1713]",2080,0b100000100000,2,1.61
"[5, 521, 2605, 2080, 257, 182, 1473]",2080,0b100000100000,2,1.61
"[5, 521, 2605, 2080, 65537, 21205, 673]",2080,0b100000100000,2,1.61
"[3, 521, 1563, 1040, 17, 11, 673]",1040,0b10000010000,2,1.54
"[3, 521, 1563, 1040, 257, 107, 433]",1040,0b10000010000,2,1.54
"[3, 521, 1563, 1040, 65537, 42410, 673]",1040,0b10000010000,2,1.54
"[3, 131, 393, 260, 3, 1, 87]",260,0b100000100,2,1.53
"[3, 131, 393, 260, 5, 1, 416]",260,0b100000100,2,1.53
"[3, 131, 393, 260, 17, 10, 153]",260,0b100000100,2,1.53
"[3, 131, 393, 260, 257, 171, 173]",260,0b100000100,2,1.53
"[3, 131, 393, 260, 65537, 38566, 153]",260,0b100000100,2,1.53
"[97, 193, 18721, 18432, 17, 4, 4337]",18432,0b100100000000000,2,1.53
"[3, 137, 411, 272, 3, 1, 91]",272,0b100010000,2,1.46
"[41, 257, 10537, 10240, 17, 14, 8433]",10240,0b10100000000000,2,1.42
"[17, 97, 1649, 1536, 5, 4, 1229]",1536,0b11000000000,2,1.33
"[5, 97, 485, 384, 3, 1, 512]",384,0b110000000,2,1.24
"[97, 257, 24929, 24576, 17, 3, 4337]",24576,0b110000000000000,2,1.15
"[23, 193, 4439, 4224, 17, 2, 497]",4224,0b1000010000000,2,1.08
"[17, 67, 1139, 1056, 5, 4, 845]",1056,0b10000100000,2,1.05
"[3, 193, 579, 384, 3, 1, 640]",384,0b110000000,2,1.04
"[11, 53, 583, 520, 3, 2, 347]",520,0b1000001000,2,1.03
"[41, 53, 2173, 2080, 5, 1, 2496]",2080,0b100000100000,2,1.01
"[7, 173, 1211, 1032, 5, 2, 413]",1032,0b10000001000,2,0.99
"[7, 173, 1211, 1032, 17, 7, 425]",1032,0b10000001000,2,0.99
"[7, 173, 1211, 1032, 257, 64, 257]",1032,0b10000001000,2,0.99
"[7, 173, 1211, 1032, 65537, 58996, 929]",1032,0b10000001000,2,0.99
"[13, 173, 2249, 2064, 5, 1, 413]",2064,0b100000010000,2,0.98
"[13, 173, 2249, 2064, 17, 12, 1457]",2064,0b100000010000,2,0.98
"[13, 173, 2249, 2064, 257, 32, 257]",2064,0b100000010000,2,0.98
"[13, 173, 2249, 2064, 65537, 29498, 929]",2064,0b100000010000,2,0.98
"[19, 257, 4883, 4608, 17, 16, 4337]",4608,0b1001000000000,2,0.98
"[97, 173, 16781, 16512, 257, 4, 257]",16512,0b100000010000000,2,0.97
"[97, 173, 16781, 16512, 65537, 52840, 13313]",16512,0b100000010000000,2,0.97
"[7, 89, 623, 528, 3, 1, 704]",528,0b1000010000,2,0.96
"[17, 37, 629, 576, 3, 1, 768]",576,0b1001000000,2,0.96
"[173, 193, 33389, 33024, 257, 2, 257]",33024,0b1000000100000000,2,0.96
"[173, 193, 33389, 33024, 65537, 26420, 13313]",33024,0b1000000100000000,2,0.96
"[17, 137, 2329, 2176, 5, 4, 1741]",2176,0b100010000000,2,0.95
"[5, 131, 655, 520, 3, 2, 347]",520,0b1000001000,2,0.92
"[7, 193, 1351, 1152, 5, 2, 461]",1152,0b10010000000,2,0.89
"[5, 137, 685, 544, 3, 2, 363]",544,0b1000100000,2,0.88
"[7, 97, 679, 576, 3, 1, 768]",576,0b1001000000,2,0.88
"[13, 193, 2509, 2304, 5, 1, 461]",2304,0b100100000000,2,0.88
"[89, 193, 17177, 16896, 17, 9, 8945]",16896,0b100001000000000,2,0.87
"[17, 41, 697, 640, 3, 2, 427]",640,0b1010000000,2,0.86
"[37, 257, 9509, 9216, 17, 8, 4337]",9216,0b10010000000000,2,0.86
"[5, 521, 2605, 2080, 5, 1, 2912]",2080,0b100000100000,2,0.84
"[97, 353, 34241, 33792, 17, 13, 25841]",33792,0b1000010000000000,2,0.84
"[73, 257, 18761, 18432, 17, 4, 4337]",18432,0b100100000000000,2,0.8
"[3, 521, 1563, 1040, 5, 1, 1664]",1040,0b10000010000,2,0.77
"[7, 257, 1799, 1536, 5, 4, 1229]",1536,0b11000000000,2,0.67
"[17, 193, 3281, 3072, 5, 2, 1229]",3072,0b110000000000,2,0.67
"[13, 257, 3341, 3072, 5, 2, 1229]",3072,0b110000000000,2,0.66
"[5, 193, 965, 768, 3, 1, 1024]",768,0b1100000000,2,0.62
"[193, 257, 49601, 49152, 17, 10, 28913]",49152,0b1100000000000000,2,0.58
"[17, 131, 2227, 2080, 5, 1, 2496]",2080,0b100000100000,2,0.54
"[23, 97, 2231, 2112, 5, 2, 845]",2112,0b100001000000,2,0.54
"[17, 67, 1139, 1056, 3, 1, 1408]",1056,0b10000100000,2,0.53
"[13, 89, 1157, 1056, 3, 1, 1408]",1056,0b10000100000,2,0.52
"[7, 173, 1211, 1032, 3, 1, 1376]",1032,0b10000001000,2,0.5
"[7, 353, 2471, 2112, 5, 2, 845]",2112,0b100001000000,2,0.49
"[97, 173, 16781, 16512, 17, 10, 9713]",16512,0b100000010000000,2,0.49
"[13, 97, 1261, 1152, 3, 1, 1536]",1152,0b10010000000,2,0.48
"[13, 353, 4589, 4224, 5, 1, 845]",4224,0b1000010000000,2,0.48
"[17, 73, 1241, 1152, 3, 1, 1536]",1152,0b10010000000,2,0.48
"[7, 193, 1351, 1152, 3, 1, 1536]",1152,0b10010000000,2,0.44
"[137, 257, 35209, 34816, 17, 1, 36864]",34816,0b1000100000000000,2,0.43
"[11, 257, 2827, 2560, 5, 1, 3072]",2560,0b101000000000,2,0.42
