"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[5, 443, 2215, 1768, 257, 199, 1369]",2215,1768,257,12,0.54,
"[5, 443, 2215, 1768, 65537, 55788, 1505]",2215,1768,65537,12,0.54,
"[7, 317, 2219, 1896, 5, 4, 1517]",2219,1896,5,12,0.54,
"[7, 317, 2219, 1896, 17, 15, 1673]",2219,1896,17,12,0.54,
"[7, 317, 2219, 1896, 257, 204, 1505]",2219,1896,257,12,0.54,
"[7, 317, 2219, 1896, 65537, 29623, 857]",2219,1896,65537,12,0.54,
"[11, 101, 1111, 1000, 3, 2, 667]",1111,1000,3,6,0.54,
"[13, 313, 4069, 3744, 5, 1, 749]",4069,3744,5,22,0.54,
"[17, 131, 2227, 2080, 5, 1, 2496]",2227,2080,5,12,0.54,
"[17, 241, 4097, 3840, 5, 1, 4608]",4097,3840,5,22,0.54,
"[17, 523, 8891, 8352, 17, 10, 4913]",8891,8352,17,48,0.54,
"[17, 523, 8891, 8352, 257, 2, 65]",8891,8352,257,48,0.54,
"[17, 523, 8891, 8352, 65537, 30642, 3905]",8891,8352,65537,48,0.54,
"[19, 59, 1121, 1044, 3, 1, 1392]",1121,1044,3,6,0.54,
"[19, 59, 1121, 1044, 5, 1, 209]",1121,1044,5,6,0.54,
"[19, 59, 1121, 1044, 17, 12, 737]",1121,1044,17,6,0.54,
"[19, 59, 1121, 1044, 257, 16, 65]",1121,1044,257,6,0.54,
"[19, 59, 1121, 1044, 65537, 48525, 773]",1121,1044,65537,6,0.54,
"[19, 233, 4427, 4176, 17, 3, 737]",4427,4176,17,24,0.54,
"[19, 233, 4427, 4176, 257, 4, 65]",4427,4176,257,24,0.54,
"[19, 233, 4427, 4176, 65537, 61284, 3905]",4427,4176,65537,24,0.54,
"[23, 97, 2231, 2112, 5, 2, 845]",2231,2112,5,12,0.54,
"[79, 113, 8927, 8736, 17, 9, 4625]",8927,8736,17,48,0.54,
"[79, 113, 8927, 8736, 257, 129, 4385]",8927,8736,257,48,0.54,
"[79, 113, 8927, 8736, 65537, 1928, 257]",8927,8736,65537,48,0.54,
"[79, 449, 35471, 34944, 257, 225, 30593]",35471,34944,257,192,0.54,
"[79, 449, 35471, 34944, 65537, 482, 257]",35471,34944,65537,192,0.54,
"[97, 157, 15229, 14976, 17, 1, 881]",15229,14976,17,82,0.54,
"[3, 379, 1137, 756, 3, 1, 1260]",1137,756,3,6,0.53,
"[3, 379, 1137, 756, 5, 4, 605]",1137,756,5,6,0.53,
"[3, 379, 1137, 756, 17, 2, 89]",1137,756,17,6,0.53,
"[3, 379, 1137, 756, 257, 120, 353]",1137,756,257,6,0.53,
"[3, 379, 1137, 756, 65537, 29561, 341]",1137,756,65537,6,0.53,
"[5, 227, 1135, 904, 3, 2, 603]",1135,904,3,6,0.53,
"[7, 163, 1141, 972, 3, 1, 1296]",1141,972,3,6,0.53,
"[7, 163, 1141, 972, 5, 2, 389]",1141,972,5,6,0.53,
"[7, 163, 1141, 972, 17, 11, 629]",1141,972,17,6,0.53,
"[7, 163, 1141, 972, 257, 179, 677]",1141,972,257,6,0.53,
"[7, 163, 1141, 972, 65537, 15710, 233]",1141,972,65537,6,0.53,
"[11, 103, 1133, 1020, 3, 1, 1360]",1133,1020,3,6,0.53,
"[11, 103, 1133, 1020, 5, 1, 1224]",1133,1020,5,6,0.53,
"[11, 103, 1133, 1020, 17, 1, 1140]",1133,1020,17,6,0.53,
"[11, 103, 1133, 1020, 257, 225, 893]",1133,1020,257,6,0.53,
"[11, 103, 1133, 1020, 65537, 57377, 893]",1133,1020,65537,6,0.53,
"[11, 409, 4499, 4080, 17, 1, 4560]",4499,4080,17,24,0.53,
"[11, 409, 4499, 4080, 257, 249, 3953]",4499,4080,257,24,0.53,
"[11, 409, 4499, 4080, 65537, 63497, 3953]",4499,4080,65537,24,0.53,
"[13, 317, 4121, 3792, 5, 2, 1517]",4121,3792,5,22,0.53,
"[13, 317, 4121, 3792, 17, 16, 3569]",4121,3792,17,22,0.53,
"[13, 317, 4121, 3792, 257, 102, 1505]",4121,3792,257,22,0.53,
"[13, 317, 4121, 3792, 65537, 47580, 2753]",4121,3792,65537,22,0.53,
"[17, 67, 1139, 1056, 3, 1, 1408]",1139,1056,3,6,0.53,
"[31, 73, 2263, 2160, 5, 1, 2592]",2263,2160,5,12,0.53,
"[37, 113, 4181, 4032, 5, 2, 1613]",4181,4032,5,22,0.53,
"[41, 101, 4141, 4000, 5, 1, 4800]",4141,4000,5,22,0.53,
"[43, 53, 2279, 2184, 5, 1, 437]",2279,2184,5,12,0.53,
"[43, 53, 2279, 2184, 17, 2, 257]",2279,2184,17,12,0.53,
"[43, 53, 2279, 2184, 257, 2, 17]",2279,2184,257,12,0.53,
"[43, 53, 2279, 2184, 65537, 7712, 257]",2279,2184,65537,12,0.53,
"[47, 193, 9071, 8832, 17, 15, 7793]",9071,8832,17,48,0.53,
"[73, 109, 7957, 7776, 17, 12, 5489]",7957,7776,17,42,0.53,
"[73, 109, 7957, 7776, 257, 183, 5537]",7957,7776,257,42,0.53,
"[73, 109, 7957, 7776, 65537, 18348, 2177]",7957,7776,65537,42,0.53,
"[97, 317, 30749, 30336, 257, 77, 9089]",30749,30336,257,162,0.53,
"[97, 317, 30749, 30336, 65537, 38716, 17921]",30749,30336,65537,162,0.53,
"[193, 317, 61181, 60672, 257, 167, 39425]",61181,60672,257,322,0.53,
"[193, 317, 61181, 60672, 65537, 19358, 17921]",61181,60672,65537,322,0.53,
"[3, 383, 1149, 764, 3, 1, 255]",1149,764,3,6,0.52,
"[3, 383, 1149, 764, 5, 1, 153]",1149,764,5,6,0.52,
"[3, 383, 1149, 764, 17, 1, 45]",1149,764,17,6,0.52,
"[3, 383, 1149, 764, 257, 147, 437]",1149,764,257,6,0.52,
"[3, 383, 1149, 764, 65537, 49839, 581]",1149,764,65537,6,0.52,
"[5, 229, 1145, 912, 3, 1, 1216]",1145,912,3,6,0.52,
"[5, 233, 1165, 928, 3, 2, 619]",1165,928,3,6,0.52,
"[5, 463, 2315, 1848, 5, 3, 1109]",2315,1848,5,12,0.52,
"[5, 463, 2315, 1848, 17, 7, 761]",2315,1848,17,12,0.52,
"[5, 463, 2315, 1848, 257, 236, 1697]",2315,1848,257,12,0.52,
"[5, 463, 2315, 1848, 65537, 21030, 593]",2315,1848,65537,12,0.52,
"[13, 89, 1157, 1056, 3, 1, 1408]",1157,1056,3,6,0.52,
"[13, 179, 2327, 2136, 5, 4, 1709]",2327,2136,5,12,0.52,
"[13, 179, 2327, 2136, 17, 3, 377]",2327,2136,17,12,0.52,
"[13, 179, 2327, 2136, 257, 106, 881]",2327,2136,257,12,0.52,
"[13, 179, 2327, 2136, 65537, 60904, 1985]",2327,2136,65537,12,0.52,
"[19, 61, 1159, 1080, 3, 1, 1440]",1159,1080,3,6,0.52,
"[23, 101, 2323, 2200, 5, 1, 2640]",2323,2200,5,12,0.52,
"[23, 101, 2323, 2200, 17, 12, 1553]",2323,2200,17,12,0.52,
"[23, 101, 2323, 2200, 257, 116, 993]",2323,2200,257,12,0.52,
"[23, 101, 2323, 2200, 65537, 43880, 1473]",2323,2200,65537,12,0.52,
"[23, 401, 9223, 8800, 17, 3, 1553]",9223,8800,17,48,0.52,
"[23, 401, 9223, 8800, 257, 29, 993]",9223,8800,257,48,0.52,
"[23, 401, 9223, 8800, 65537, 10970, 1473]",9223,8800,65537,48,0.52,
"[29, 79, 2291, 2184, 5, 1, 437]",2291,2184,5,12,0.52,
"[29, 79, 2291, 2184, 17, 2, 257]",2291,2184,17,12,0.52,
"[29, 79, 2291, 2184, 257, 2, 17]",2291,2184,257,12,0.52,
"[29, 79, 2291, 2184, 65537, 7712, 257]",2291,2184,65537,12,0.52,
"[29, 281, 8149, 7840, 17, 11, 5073]",8149,7840,17,42,0.52,
"[29, 281, 8149, 7840, 257, 85, 2593]",8149,7840,257,42,0.52,
"[29, 281, 8149, 7840, 65537, 47088, 5633]",8149,7840,65537,42,0.52,
"[31, 37, 1147, 1080, 3, 1, 1440]",1147,1080,3,6,0.52,
"[41, 197, 8077, 7840, 17, 11, 5073]",8077,7840,17,42,0.52,
"[41, 197, 8077, 7840, 257, 85, 2593]",8077,7840,257,42,0.52,
"[41, 197, 8077, 7840, 65537, 47088, 5633]",8077,7840,65537,42,0.52,
"[61, 257, 15677, 15360, 17, 15, 13553]",15677,15360,17,82,0.52,
"[83, 449, 37267, 36736, 257, 120, 17153]",37267,36736,257,192,0.52,
"[83, 449, 37267, 36736, 65537, 43617, 24449]",37267,36736,65537,192,0.52,
"[97, 191, 18527, 18240, 257, 147, 10433]",18527,18240,257,96,0.52,
"[97, 191, 18527, 18240, 65537, 2993, 833]",18527,18240,65537,96,0.52,
"[191, 193, 36863, 36480, 257, 202, 28673]",36863,36480,257,192,0.52,
"[191, 193, 36863, 36480, 65537, 34265, 19073]",36863,36480,65537,192,0.52,
"[3, 389, 1167, 776, 3, 1, 259]",1167,776,3,6,0.51,
"[5, 467, 2335, 1864, 5, 1, 373]",2335,1864,5,12,0.51,
"[5, 467, 2335, 1864, 17, 3, 329]",2335,1864,17,12,0.51,
"[5, 467, 2335, 1864, 257, 170, 1233]",2335,1864,257,12,0.51,
"[5, 467, 2335, 1864, 65537, 29569, 841]",2335,1864,65537,12,0.51,
"[7, 167, 1169, 996, 3, 1, 1328]",1169,996,3,6,0.51,
"[7, 167, 1169, 996, 5, 4, 797]",1169,996,5,6,0.51,
"[7, 167, 1169, 996, 17, 5, 293]",1169,996,17,6,0.51,
"[7, 167, 1169, 996, 257, 249, 965]",1169,996,257,6,0.51,
"[7, 167, 1169, 996, 65537, 329, 5]",1169,996,65537,6,0.51,
"[7, 337, 2359, 2016, 5, 4, 1613]",2359,2016,5,12,0.51,
"[11, 107, 1177, 1060, 3, 2, 707]",1177,1060,3,6,0.51,
"[11, 107, 1177, 1060, 5, 1, 1272]",1177,1060,5,6,0.51,
"[11, 107, 1177, 1060, 17, 14, 873]",1177,1060,17,6,0.51,
"[11, 107, 1177, 1060, 257, 8, 33]",1177,1060,257,6,0.51,
"[11, 107, 1177, 1060, 65537, 46556, 753]",1177,1060,65537,6,0.51,
"[17, 139, 2363, 2208, 5, 3, 1325]",2363,2208,5,12,0.51,
"[29, 41, 1189, 1120, 3, 2, 747]",1189,1120,3,6,0.51,
"[29, 149, 4321, 4144, 5, 1, 829]",4321,4144,5,22,0.51,
"[29, 149, 4321, 4144, 17, 13, 3169]",4321,4144,17,22,0.51,
"[29, 149, 4321, 4144, 257, 8, 129]",4321,4144,257,22,0.51,
"[29, 149, 4321, 4144, 65537, 53660, 3393]",4321,4144,65537,22,0.51,
"[37, 433, 16021, 15552, 17, 6, 5489]",16021,15552,17,82,0.51,
"[37, 433, 16021, 15552, 257, 220, 13313]",16021,15552,257,82,0.51,
"[37, 433, 16021, 15552, 65537, 9174, 2177]",16021,15552,65537,82,0.51,
"[73, 401, 29273, 28800, 17, 8, 13553]",29273,28800,17,150,0.51,
"[73, 401, 29273, 28800, 257, 16, 1793]",29273,28800,257,150,0.51,
"[73, 401, 29273, 28800, 65537, 65248, 28673]",29273,28800,65537,150,0.51,
"[83, 113, 9379, 9184, 17, 4, 2161]",9379,9184,17,48,0.51,
"[83, 113, 9379, 9184, 257, 223, 7969]",9379,9184,257,48,0.51,
"[83, 113, 9379, 9184, 65537, 43394, 6081]",9379,9184,65537,48,0.51,
"[3, 397, 1191, 792, 3, 1, 1320]",1191,792,3,6,0.5,
"[3, 401, 1203, 800, 3, 1, 267]",1203,800,3,6,0.5,
"[5, 239, 1195, 952, 3, 2, 635]",1195,952,3,6,0.5,
"[5, 241, 1205, 960, 3, 1, 1280]",1205,960,3,6,0.5,
"[5, 479, 2395, 1912, 5, 2, 765]",2395,1912,5,12,0.5,
"[5, 479, 2395, 1912, 17, 2, 225]",2395,1912,17,12,0.5,
"[5, 479, 2395, 1912, 257, 141, 1049]",2395,1912,257,12,0.5,
"[5, 479, 2395, 1912, 65537, 18955, 553]",2395,1912,65537,12,0.5,
"[7, 173, 1211, 1032, 3, 1, 1376]",1211,1032,3,6,0.5,
"[11, 109, 1199, 1080, 3, 1, 1440]",1199,1080,3,6,0.5,
"[13, 337, 4381, 4032, 5, 2, 1613]",4381,4032,5,22,0.5,
"[17, 71, 1207, 1120, 3, 2, 747]",1207,1120,3,6,0.5,
"[17, 257, 4369, 4096, 5, 4, 3277]",4369,4096,5,22,0.5,
"[29, 83, 2407, 2296, 5, 4, 1837]",2407,2296,5,12,0.5,
"[29, 83, 2407, 2296, 17, 16, 2161]",2407,2296,17,12,0.5,
"[29, 83, 2407, 2296, 257, 121, 1081]",2407,2296,257,12,0.5,
"[29, 83, 2407, 2296, 65537, 42502, 1489]",2407,2296,65537,12,0.5,
"[41, 59, 2419, 2320, 5, 1, 2784]",2419,2320,5,12,0.5,
"[61, 137, 8357, 8160, 17, 1, 8640]",8357,8160,17,42,0.5,
"[61, 137, 8357, 8160, 257, 253, 8033]",8357,8160,257,42,0.5,
"[61, 137, 8357, 8160, 65537, 64517, 8033]",8357,8160,65537,42,0.5,
"[89, 337, 29993, 29568, 17, 10, 17393]",29993,29568,17,150,0.5,
"[89, 337, 29993, 29568, 257, 79, 9089]",29993,29568,257,150,0.5,
"[89, 337, 29993, 29568, 65537, 42275, 19073]",29993,29568,65537,150,0.5,
"[97, 199, 19303, 19008, 257, 180, 13313]",19303,19008,257,96,0.5,
"[97, 199, 19303, 19008, 65537, 7506, 2177]",19303,19008,65537,96,0.5,
"[193, 199, 38407, 38016, 257, 90, 13313]",38407,38016,257,192,0.5,
"[193, 199, 38407, 38016, 65537, 3753, 2177]",38407,38016,65537,192,0.5,
"[3, 409, 1227, 816, 3, 1, 1360]",1227,816,3,6,0.49,
"[5, 487, 2435, 1944, 5, 1, 389]",2435,1944,5,12,0.49,
"[5, 487, 2435, 1944, 17, 14, 1601]",2435,1944,17,12,0.49,
"[5, 487, 2435, 1944, 257, 218, 1649]",2435,1944,257,12,0.49,
"[5, 487, 2435, 1944, 65537, 7855, 233]",2435,1944,65537,12,0.49,
"[5, 491, 2455, 1960, 5, 1, 2744]",2455,1960,5,12,0.49,
"[5, 491, 2455, 1960, 17, 10, 1153]",2455,1960,17,12,0.49,
"[5, 491, 2455, 1960, 257, 83, 633]",2455,1960,257,12,0.49,
"[5, 491, 2455, 1960, 65537, 57278, 1713]",2455,1960,65537,12,0.49,
"[7, 349, 2443, 2088, 5, 3, 1253]",2443,2088,5,12,0.49,
"[7, 349, 2443, 2088, 17, 6, 737]",2443,2088,17,12,0.49,
"[7, 349, 2443, 2088, 257, 8, 65]",2443,2088,257,12,0.49,
"[7, 349, 2443, 2088, 65537, 57031, 1817]",2443,2088,65537,12,0.49,
"[7, 353, 2471, 2112, 5, 2, 845]",2471,2112,5,12,0.49,
"[13, 349, 4537, 4176, 5, 4, 3341]",4537,4176,5,22,0.49,
"[13, 349, 4537, 4176, 17, 3, 737]",4537,4176,17,22,0.49,
"[13, 349, 4537, 4176, 257, 4, 65]",4537,4176,257,22,0.49,
"[13, 349, 4537, 4176, 65537, 61284, 3905]",4537,4176,65537,22,0.49,
"[23, 53, 1219, 1144, 3, 2, 763]",1219,1144,3,6,0.49,
"[37, 233, 8621, 8352, 17, 10, 4913]",8621,8352,17,42,0.49,
"[37, 233, 8621, 8352, 257, 2, 65]",8621,8352,257,42,0.49,
"[37, 233, 8621, 8352, 65537, 30642, 3905]",8621,8352,65537,42,0.49,
"[37, 449, 16613, 16128, 17, 7, 6641]",16613,16128,17,82,0.49,
"[41, 109, 4469, 4320, 5, 1, 5184]",4469,4320,5,22,0.49,
"[61, 73, 4453, 4320, 5, 1, 5184]",4453,4320,5,22,0.49,
"[67, 73, 4891, 4752, 17, 15, 4193]",4891,4752,17,24,0.49,
"[67, 73, 4891, 4752, 257, 206, 3809]",4891,4752,257,24,0.49,
"[67, 73, 4891, 4752, 65537, 30024, 2177]",4891,4752,65537,24,0.49,
"[97, 173, 16781, 16512, 17, 10, 9713]",16781,16512,17,82,0.49,
"[97, 313, 30361, 29952, 17, 9, 15857]",30361,29952,17,150,0.49,
"[113, 149, 16837, 16576, 17, 16, 15601]",16837,16576,17,82,0.49,
"[113, 149, 16837, 16576, 257, 2, 129]",16837,16576,257,82,0.49,
"[113, 149, 16837, 16576, 65537, 13415, 3393]",16837,16576,65537,82,0.49,
"[3, 419, 1257, 836, 3, 1, 279]",1257,836,3,6,0.48,
"[3, 419, 1257, 836, 5, 4, 669]",1257,836,5,6,0.48,
"[3, 419, 1257, 836, 17, 11, 541]",1257,836,17,6,0.48,
"[3, 419, 1257, 836, 257, 170, 553]",1257,836,257,6,0.48,
"[3, 419, 1257, 836, 65537, 53386, 681]",1257,836,65537,6,0.48,
"[3, 421, 1263, 840, 3, 1, 1400]",1263,840,3,6,0.48,
"[5, 251, 1255, 1000, 3, 2, 667]",1255,1000,3,6,0.48,
"[5, 499, 2495, 1992, 5, 2, 797]",2495,1992,5,12,0.48,
"[5, 499, 2495, 1992, 17, 11, 1289]",2495,1992,17,12,0.48,
"[5, 499, 2495, 1992, 257, 253, 1961]",2495,1992,257,12,0.48,
"[5, 499, 2495, 1992, 65537, 32933, 1001]",2495,1992,65537,12,0.48,
"[5, 503, 2515, 2008, 5, 3, 1205]",2515,2008,5,12,0.48,
"[5, 503, 2515, 2008, 17, 8, 945]",2515,2008,17,12,0.48,
"[5, 503, 2515, 2008, 257, 166, 1297]",2515,2008,257,12,0.48,
"[5, 503, 2515, 2008, 65537, 33715, 1033]",2515,2008,65537,12,0.48,
"[7, 179, 1253, 1068, 3, 1, 1424]",1253,1068,3,6,0.48,
"[7, 179, 1253, 1068, 5, 3, 641]",1253,1068,5,6,0.48,
"[7, 179, 1253, 1068, 17, 6, 377]",1253,1068,17,6,0.48,
"[7, 179, 1253, 1068, 257, 212, 881]",1253,1068,257,6,0.48,
"[7, 179, 1253, 1068, 65537, 56271, 917]",1253,1068,65537,6,0.48,
"[11, 113, 1243, 1120, 3, 2, 747]",1243,1120,3,6,0.48,
"[11, 229, 2519, 2280, 5, 1, 2736]",2519,2280,5,12,0.48,
"[11, 229, 2519, 2280, 17, 8, 1073]",2519,2280,17,12,0.48,
"[11, 229, 2519, 2280, 257, 148, 1313]",2519,2280,257,12,0.48,
"[11, 229, 2519, 2280, 65537, 23944, 833]",2519,2280,65537,12,0.48,
"[11, 457, 5027, 4560, 17, 4, 1073]",5027,4560,17,24,0.48,
"[11, 457, 5027, 4560, 257, 74, 1313]",5027,4560,257,24,0.48,
"[11, 457, 5027, 4560, 65537, 11972, 833]",5027,4560,65537,24,0.48,
"[13, 97, 1261, 1152, 3, 1, 1536]",1261,1152,3,6,0.48,
"[13, 191, 2483, 2280, 5, 1, 2736]",2483,2280,5,12,0.48,
"[13, 191, 2483, 2280, 17, 8, 1073]",2483,2280,17,12,0.48,
"[13, 191, 2483, 2280, 257, 148, 1313]",2483,2280,257,12,0.48,
"[13, 191, 2483, 2280, 65537, 23944, 833]",2483,2280,65537,12,0.48,
"[13, 353, 4589, 4224, 5, 1, 845]",4589,4224,5,22,0.48,
"[17, 73, 1241, 1152, 3, 1, 1536]",1241,1152,3,6,0.48,
"[17, 269, 4573, 4288, 5, 3, 2573]",4573,4288,5,22,0.48,
"[23, 109, 2507, 2376, 5, 4, 1901]",2507,2376,5,12,0.48,
"[23, 109, 2507, 2376, 17, 13, 1817]",2507,2376,17,12,0.48,
"[23, 109, 2507, 2376, 257, 155, 1433]",2507,2376,257,12,0.48,
"[23, 109, 2507, 2376, 65537, 60048, 2177]",2507,2376,65537,12,0.48,
"[23, 433, 9959, 9504, 17, 16, 8945]",9959,9504,17,48,0.48,
"[23, 433, 9959, 9504, 257, 103, 3809]",9959,9504,257,48,0.48,
"[23, 433, 9959, 9504, 65537, 15012, 2177]",9959,9504,65537,48,0.48,
"[29, 43, 1247, 1176, 3, 1, 1568]",1247,1176,3,6,0.48,
"[29, 157, 4553, 4368, 5, 3, 2621]",4553,4368,5,22,0.48,
"[29, 157, 4553, 4368, 17, 1, 257]",4553,4368,17,22,0.48,
"[29, 157, 4553, 4368, 257, 1, 17]",4553,4368,257,22,0.48,
"[29, 157, 4553, 4368, 65537, 3856, 257]",4553,4368,65537,22,0.48,
"[37, 67, 2479, 2376, 5, 4, 1901]",2479,2376,5,12,0.48,
"[37, 67, 2479, 2376, 17, 13, 1817]",2479,2376,17,12,0.48,
"[37, 67, 2479, 2376, 257, 155, 1433]",2479,2376,257,12,0.48,
"[37, 67, 2479, 2376, 65537, 60048, 2177]",2479,2376,65537,12,0.48,
"[47, 53, 2491, 2392, 5, 2, 957]",2491,2392,5,12,0.48,
"[47, 53, 2491, 2392, 17, 7, 985]",2491,2392,17,12,0.48,
"[47, 53, 2491, 2392, 257, 13, 121]",2491,2392,257,12,0.48,
"[47, 53, 2491, 2392, 65537, 24138, 881]",2491,2392,65537,12,0.48,
"[89, 353, 31417, 30976, 17, 8, 14577]",31417,30976,17,150,0.48,
"[97, 103, 9991, 9792, 17, 1, 10368]",9991,9792,17,48,0.48,
"[97, 349, 33853, 33408, 257, 129, 16769]",33853,33408,257,162,0.48,
"[97, 349, 33853, 33408, 65537, 40429, 20609]",33853,33408,65537,162,0.48,
"[149, 449, 66901, 66304, 257, 129, 33281]",66901,66304,257,322,0.48,
"[149, 449, 66901, 66304, 65537, 19738, 19969]",66901,66304,65537,322,0.48,
"[193, 349, 67357, 66816, 257, 193, 50177]",67357,66816,257,322,0.48,
"[193, 349, 67357, 66816, 65537, 52983, 54017]",67357,66816,65537,322,0.48,
"[5, 257, 1285, 1024, 3, 2, 683]",1285,1024,3,6,0.47,
"[7, 181, 1267, 1080, 3, 1, 1440]",1267,1080,3,6,0.47,
"[11, 233, 2563, 2320, 5, 1, 2784]",2563,2320,5,12,0.47,
"[17, 151, 2567, 2400, 5, 1, 2880]",2567,2400,5,12,0.47,
"[17, 277, 4709, 4416, 5, 4, 3533]",4709,4416,5,22,0.47,
"[19, 67, 1273, 1188, 3, 1, 1584]",1273,1188,3,6,0.47,
"[19, 67, 1273, 1188, 5, 3, 713]",1273,1188,5,6,0.47,
"[19, 67, 1273, 1188, 17, 9, 629]",1273,1188,17,6,0.47,
"[19, 67, 1273, 1188, 257, 53, 245]",1273,1188,257,6,0.47,
"[19, 67, 1273, 1188, 65537, 54559, 989]",1273,1188,65537,6,0.47,
"[31, 41, 1271, 1200, 3, 1, 1600]",1271,1200,3,6,0.47,
"[41, 113, 4633, 4480, 5, 1, 5376]",4633,4480,5,22,0.47,
"[41, 409, 16769, 16320, 17, 1, 17280]",16769,16320,17,78,0.47,
"[41, 409, 16769, 16320, 257, 255, 16193]",16769,16320,257,78,0.47,
"[41, 409, 16769, 16320, 65537, 65027, 16193]",16769,16320,65537,78,0.47,
"[53, 89, 4717, 4576, 5, 4, 3661]",4717,4576,5,22,0.47,
"[73, 433, 31609, 31104, 17, 3, 5489]",31609,31104,17,150,0.47,
"[73, 433, 31609, 31104, 257, 110, 13313]",31609,31104,257,150,0.47,
"[73, 433, 31609, 31104, 65537, 4587, 2177]",31609,31104,65537,150,0.47,
"[89, 101, 8989, 8800, 17, 3, 1553]",8989,8800,17,42,0.47,
"[89, 101, 8989, 8800, 257, 29, 993]",8989,8800,257,42,0.47,
"[89, 101, 8989, 8800, 65537, 10970, 1473]",8989,8800,65537,42,0.47,
"[97, 181, 17557, 17280, 17, 2, 2033]",17557,17280,17,82,0.47,
"[97, 211, 20467, 20160, 257, 133, 10433]",20467,20160,257,96,0.47,
"[97, 211, 20467, 20160, 65537, 18312, 5633]",20467,20160,65537,96,0.47,
"[113, 281, 31753, 31360, 17, 7, 12913]",31753,31360,17,150,0.47,
"[113, 281, 31753, 31360, 257, 214, 26113]",31753,31360,257,150,0.47,
"[113, 281, 31753, 31360, 65537, 11772, 5633]",31753,31360,65537,150,0.47,
"[193, 211, 40723, 40320, 257, 195, 30593]",40723,40320,257,192,0.47,
"[193, 211, 40723, 40320, 65537, 9156, 5633]",40723,40320,65537,192,0.47,
"[337, 353, 118961, 118272, 257, 84, 38657]",118961,118272,257,558,0.47,
"[337, 353, 118961, 118272, 65537, 26953, 48641]",118961,118272,65537,558,0.47,
"[3, 431, 1293, 860, 3, 1, 287]",1293,860,3,6,0.46,
"[3, 431, 1293, 860, 5, 1, 1376]",1293,860,5,6,0.46,
"[3, 431, 1293, 860, 17, 5, 253]",1293,860,17,6,0.46,
"[3, 431, 1293, 860, 257, 231, 773]",1293,860,257,6,0.46,
"[3, 431, 1293, 860, 65537, 31473, 413]",1293,860,65537,6,0.46,
"[3, 433, 1299, 864, 3, 1, 1440]",1299,864,3,6,0.46,
"[3, 439, 1317, 876, 3, 1, 1460]",1317,876,3,6,0.46,
"[3, 439, 1317, 876, 5, 4, 701]",1317,876,5,6,0.46,
"[3, 439, 1317, 876, 17, 15, 773]",1317,876,17,6,0.46,
"[3, 439, 1317, 876, 257, 93, 317]",1317,876,257,6,0.46,
"[3, 439, 1317, 876, 65537, 62320, 833]",1317,876,65537,6,0.46,
"[5, 263, 1315, 1048, 3, 2, 699]",1315,1048,3,6,0.46,
"[5, 523, 2615, 2088, 5, 3, 1253]",2615,2088,5,12,0.46,
"[5, 523, 2615, 2088, 17, 6, 737]",2615,2088,17,12,0.46,
"[5, 523, 2615, 2088, 257, 8, 65]",2615,2088,257,12,0.46,
"[5, 523, 2615, 2088, 65537, 57031, 1817]",2615,2088,65537,12,0.46,
"[7, 373, 2611, 2232, 5, 2, 893]",2611,2232,5,12,0.46,
"[7, 373, 2611, 2232, 17, 10, 1313]",2611,2232,17,12,0.46,
"[7, 373, 2611, 2232, 257, 165, 1433]",2611,2232,257,12,0.46,
"[7, 373, 2611, 2232, 65537, 40667, 1385]",2611,2232,65537,12,0.46,
"[13, 101, 1313, 1200, 3, 1, 1600]",1313,1200,3,6,0.46,
"[13, 199, 2587, 2376, 5, 4, 1901]",2587,2376,5,12,0.46,
"[13, 199, 2587, 2376, 17, 13, 1817]",2587,2376,17,12,0.46,
"[13, 199, 2587, 2376, 257, 155, 1433]",2587,2376,257,12,0.46,
"[13, 199, 2587, 2376, 65537, 60048, 2177]",2587,2376,65537,12,0.46,
"[17, 281, 4777, 4480, 5, 1, 5376]",4777,4480,5,22,0.46,
"[19, 137, 2603, 2448, 5, 3, 1469]",2603,2448,5,12,0.46,
"[23, 113, 2599, 2464, 5, 1, 493]",2599,2464,5,12,0.46,
"[23, 449, 10327, 9856, 17, 13, 7537]",10327,9856,17,48,0.46,
"[29, 313, 9077, 8736, 17, 9, 4625]",9077,8736,17,42,0.46,
"[29, 313, 9077, 8736, 257, 129, 4385]",9077,8736,257,42,0.46,
"[29, 313, 9077, 8736, 65537, 1928, 257]",9077,8736,65537,42,0.46,
"[31, 337, 10447, 10080, 17, 1, 593]",10447,10080,17,48,0.46,
"[31, 337, 10447, 10080, 257, 9, 353]",10447,10080,257,48,0.46,
"[31, 337, 10447, 10080, 65537, 36624, 5633]",10447,10080,65537,48,0.46,
"[37, 71, 2627, 2520, 5, 1, 3024]",2627,2520,5,12,0.46,
"[37, 71, 2627, 2520, 17, 4, 593]",2627,2520,17,12,0.46,
"[37, 71, 2627, 2520, 257, 36, 353]",2627,2520,257,12,0.46,
"[37, 71, 2627, 2520, 65537, 15422, 593]",2627,2520,65537,12,0.46,
"[41, 127, 5207, 5040, 17, 2, 593]",5207,5040,17,24,0.46,
"[41, 127, 5207, 5040, 257, 18, 353]",5207,5040,257,24,0.46,
"[41, 127, 5207, 5040, 65537, 7711, 593]",5207,5040,65537,24,0.46,
"[43, 61, 2623, 2520, 5, 1, 3024]",2623,2520,5,12,0.46,
