"[3, 5, 15, 8, 65537, 8192, 1]","[65537, 3, 5, 17, 257]"
"[3, 7, 21, 12, 3, 1, 24]","[3, 5, 17, 257, 65537]"
"[3, 11, 33, 20, 5, 1, 36]","[5, 3, 17, 257, 65537]"
"[3, 13, 39, 24, 5, 1, 5]","[5, 3, 17, 257, 65537]"
"[3, 17, 51, 32, 5, 2, 13]","[5, 3, 17, 257, 65537]"
"[3, 19, 57, 36, 3, 1, 60]","[3, 5, 17, 257, 65537]"
"[3, 23, 69, 44, 5, 1, 9]","[5, 3, 17, 257, 65537]"
"[3, 29, 87, 56, 65537, 38620, 33]","[65537, 3, 5, 17, 257]"
"[3, 31, 93, 60, 3, 1, 100]","[3, 5, 17, 257, 65537]"
"[3, 37, 111, 72, 5, 2, 29]","[5, 3, 17, 257, 65537]"
"[3, 41, 123, 80, 257, 106, 33]","[257, 3, 5, 17, 65537]"
"[3, 43, 129, 84, 3, 1, 140]","[3, 5, 17, 257, 65537]"
"[3, 47, 141, 92, 65537, 37755, 53]","[65537, 3, 5, 17, 257]"
"[3, 53, 159, 104, 5, 1, 21]","[5, 3, 17, 257, 65537]"
"[3, 59, 177, 116, 3, 1, 39]","[3, 5, 17, 257, 65537]"
"[3, 61, 183, 120, 65537, 61714, 113]","[65537, 3, 5, 17, 257]"
"[3, 67, 201, 132, 65537, 32272, 65]","[65537, 3, 5, 17, 257]"
"[3, 71, 213, 140, 5, 1, 224]","[5, 3, 17, 257, 65537]"
"[3, 73, 219, 144, 257, 116, 65]","[257, 3, 5, 17, 65537]"
"[3, 79, 237, 156, 17, 11, 101]","[17, 3, 5, 257, 65537]"
"[3, 83, 249, 164, 5, 1, 33]","[5, 3, 17, 257, 65537]"
"[3, 89, 267, 176, 3, 1, 59]","[3, 5, 17, 257, 65537]"
"[3, 97, 291, 192, 5, 2, 77]","[5, 3, 17, 257, 65537]"
"[3, 101, 303, 200, 65537, 23921, 73]","[65537, 3, 5, 17, 257]"
"[3, 103, 309, 204, 65537, 24737, 77]","[65537, 3, 5, 17, 257]"
"[3, 107, 321, 212, 17, 2, 25]","[17, 3, 5, 257, 65537]"
"[3, 109, 327, 216, 257, 163, 137]","[257, 3, 5, 17, 65537]"
