"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage 
"[5, 17, 85, 64, 16843, 9211, 35]",85,64,16843,7.14
"[5, 17, 85, 64, 16871, 6063, 23]",85,64,16871,7.14
"[5, 17, 85, 64, 16879, 3956, 15]",85,64,16879,7.14
"[5, 17, 85, 64, 16883, 15564, 59]",85,64,16883,7.14
"[5, 17, 85, 64, 16889, 2375, 9]",85,64,16889,50.0
"[5, 17, 85, 64, 16901, 3433, 13]",85,64,16901,26.19
"[5, 17, 85, 64, 16903, 14526, 55]",85,64,16903,7.14
"[5, 17, 85, 64, 16921, 10840, 41]",85,64,16921,50.0
"[5, 17, 85, 64, 16927, 8199, 31]",85,64,16927,7.14
"[5, 17, 85, 64, 16931, 2910, 11]",85,64,16931,7.14
"[5, 17, 85, 64, 16937, 6616, 25]",85,64,16937,50.0
"[5, 17, 85, 64, 16943, 3971, 15]",85,64,16943,7.14
"[5, 17, 85, 64, 16963, 11397, 43]",85,64,16963,7.14
"[5, 17, 85, 64, 16979, 7163, 27]",85,64,16979,7.14
"[5, 17, 85, 64, 16981, 16185, 61]",85,64,16981,26.19
"[5, 17, 85, 64, 16987, 5043, 19]",85,64,16987,7.14
"[5, 17, 85, 64, 16993, 8762, 33]",85,64,16993,97.62
"[5, 17, 85, 64, 17011, 15682, 59]",85,64,17011,7.14
"[5, 17, 85, 64, 17021, 5585, 21]",85,64,17021,26.19
"[5, 17, 85, 64, 17027, 11440, 43]",85,64,17027,7.14
"[5, 17, 85, 64, 17029, 3459, 13]",85,64,17029,26.19
"[5, 17, 85, 64, 17033, 15170, 57]",85,64,17033,50.0
"[5, 17, 85, 64, 17041, 13047, 49]",85,64,17041,97.62
"[5, 17, 85, 64, 17047, 10388, 39]",85,64,17047,7.14
"[5, 17, 85, 64, 17053, 14122, 53]",85,64,17053,26.19
"[5, 17, 85, 64, 17077, 7738, 29]",85,64,17077,26.19
"[5, 17, 85, 64, 17093, 3472, 13]",85,64,17093,26.19
"[5, 17, 85, 64, 17099, 9351, 35]",85,64,17099,7.14
"[5, 17, 85, 64, 17107, 7217, 27]",85,64,17107,7.14
"[5, 17, 85, 64, 17117, 14175, 53]",85,64,17117,26.19
"[5, 17, 85, 64, 17123, 2943, 11]",85,64,17123,7.14
"[5, 17, 85, 64, 17137, 4552, 17]",85,64,17137,97.62
"[5, 17, 85, 64, 17159, 14746, 55]",85,64,17159,7.14
"[5, 17, 85, 64, 17167, 12607, 47]",85,64,17167,7.14
"[5, 17, 85, 64, 17183, 8323, 31]",85,64,17183,7.14
"[5, 17, 85, 64, 17189, 12086, 45]",85,64,17189,26.19
"[5, 17, 85, 64, 17191, 6178, 23]",85,64,17191,7.14
"[5, 17, 85, 64, 17203, 15859, 59]",85,64,17203,7.14
"[5, 17, 85, 64, 17207, 1882, 7]",85,64,17207,7.14
"[5, 17, 85, 64, 17209, 2420, 9]",85,64,17209,50.0
"[5, 17, 85, 64, 17231, 12654, 47]",85,64,17231,7.14
"[5, 17, 85, 64, 17239, 10505, 39]",85,64,17239,7.14
"[5, 17, 85, 64, 17257, 6741, 25]",85,64,17257,50.0
"[5, 17, 85, 64, 17291, 9456, 35]",85,64,17291,7.14
"[5, 17, 85, 64, 17293, 1351, 5]",85,64,17293,26.19
"[5, 17, 85, 64, 17299, 7298, 27]",85,64,17299,7.14
"[5, 17, 85, 64, 17317, 12176, 45]",85,64,17317,26.19
"[5, 17, 85, 64, 17321, 6766, 25]",85,64,17321,50.0
"[5, 17, 85, 64, 17327, 4061, 15]",85,64,17327,7.14
"[5, 17, 85, 64, 17333, 7854, 29]",85,64,17333,26.19
"[5, 17, 85, 64, 17341, 5690, 21]",85,64,17341,26.19
"[5, 17, 85, 64, 17351, 14911, 55]",85,64,17351,7.14
"[5, 17, 85, 64, 17359, 12748, 47]",85,64,17359,7.14
"[5, 17, 85, 64, 17377, 8960, 33]",85,64,17377,97.62
"[5, 17, 85, 64, 17383, 6247, 23]",85,64,17383,7.14
"[5, 17, 85, 64, 17387, 815, 3]",85,64,17387,7.14
"[5, 17, 85, 64, 17389, 10053, 37]",85,64,17389,26.19
"[5, 17, 85, 64, 17393, 4620, 17]",85,64,17393,97.62
"[5, 17, 85, 64, 17401, 2447, 9]",85,64,17401,50.0
"[5, 17, 85, 64, 17417, 15512, 57]",85,64,17417,50.0
"[5, 17, 85, 64, 17419, 9526, 35]",85,64,17419,7.14
"[5, 17, 85, 64, 17431, 10622, 39]",85,64,17431,7.14
"[5, 17, 85, 64, 17443, 2998, 11]",85,64,17443,7.14
"[5, 17, 85, 64, 17449, 6816, 25]",85,64,17449,50.0
"[5, 17, 85, 64, 17467, 13919, 51]",85,64,17467,7.14
"[5, 17, 85, 64, 17471, 17198, 63]",85,64,17471,7.14
"[5, 17, 85, 64, 17477, 3550, 13]",85,64,17477,26.19
"[5, 17, 85, 64, 17483, 9561, 35]",85,64,17483,7.14
"[5, 17, 85, 64, 17489, 13390, 49]",85,64,17489,97.62
"[5, 17, 85, 64, 17491, 7379, 27]",85,64,17491,7.14
"[5, 17, 85, 64, 17497, 11209, 41]",85,64,17497,50.0
"[5, 17, 85, 64, 17509, 12311, 45]",85,64,17509,26.19
"[5, 17, 85, 64, 17519, 4106, 15]",85,64,17519,7.14
"[5, 17, 85, 64, 17539, 11784, 43]",85,64,17539,7.14
"[5, 17, 85, 64, 17551, 12889, 47]",85,64,17551,7.14
"[5, 17, 85, 64, 17569, 9059, 33]",85,64,17569,97.62
"[5, 17, 85, 64, 17573, 12356, 45]",85,64,17573,26.19
"[5, 17, 85, 64, 17579, 824, 3]",85,64,17579,7.14
"[5, 17, 85, 64, 17581, 10164, 37]",85,64,17581,26.19
"[5, 17, 85, 64, 17597, 5774, 21]",85,64,17597,26.19
"[5, 17, 85, 64, 17599, 17324, 63]",85,64,17599,7.14
"[5, 17, 85, 64, 17609, 15683, 57]",85,64,17609,50.0
"[5, 17, 85, 64, 17623, 10739, 39]",85,64,17623,7.14
"[5, 17, 85, 64, 17627, 5233, 19]",85,64,17627,7.14
"[5, 17, 85, 64, 17657, 2483, 9]",85,64,17657,50.0
"[5, 17, 85, 64, 17659, 14072, 51]",85,64,17659,7.14
"[5, 17, 85, 64, 17669, 3589, 13]",85,64,17669,26.19
"[5, 17, 85, 64, 17681, 13537, 49]",85,64,17681,97.62
"[5, 17, 85, 64, 17683, 7460, 27]",85,64,17683,7.14
"[5, 17, 85, 64, 17707, 830, 3]",85,64,17707,7.14
"[5, 17, 85, 64, 17713, 4705, 17]",85,64,17713,97.62
"[5, 17, 85, 64, 17729, 277, 1]",85,64,17729,97.62
"[5, 17, 85, 64, 17737, 15797, 57]",85,64,17737,50.0
"[5, 17, 85, 64, 17747, 7487, 27]",85,64,17747,7.14
"[5, 17, 85, 64, 17749, 16917, 61]",85,64,17749,26.19
"[5, 17, 85, 64, 17761, 9158, 33]",85,64,17761,97.62
"[5, 17, 85, 64, 17783, 1945, 7]",85,64,17783,7.14
"[5, 17, 85, 64, 17789, 5837, 21]",85,64,17789,26.19
"[5, 17, 85, 64, 17791, 17513, 63]",85,64,17791,7.14
"[5, 17, 85, 64, 17807, 13077, 47]",85,64,17807,7.14
"[5, 17, 85, 64, 17827, 3064, 11]",85,64,17827,7.14
"[5, 17, 85, 64, 17837, 10312, 37]",85,64,17837,26.19
"[5, 17, 85, 64, 17839, 4181, 15]",85,64,17839,7.14
"[5, 17, 85, 64, 17851, 14225, 51]",85,64,17851,7.14
"[5, 17, 85, 64, 17863, 15351, 55]",85,64,17863,7.14
"[5, 17, 85, 64, 17881, 11455, 41]",85,64,17881,50.0
"[5, 17, 85, 64, 17891, 3075, 11]",85,64,17891,7.14
"[5, 17, 85, 64, 17903, 4196, 15]",85,64,17903,7.14
"[5, 17, 85, 64, 17909, 8115, 29]",85,64,17909,26.19
"[5, 17, 85, 64, 17911, 1959, 7]",85,64,17911,7.14
"[5, 17, 85, 64, 17921, 280, 1]",85,64,17921,97.62
"[5, 17, 85, 64, 17923, 12042, 43]",85,64,17923,7.14
"[5, 17, 85, 64, 17929, 15968, 57]",85,64,17929,50.0
"[5, 17, 85, 64, 17939, 7568, 27]",85,64,17939,7.14
"[5, 17, 85, 64, 17957, 12626, 45]",85,64,17957,26.19
"[5, 17, 85, 64, 17959, 6454, 23]",85,64,17959,7.14
"[5, 17, 85, 64, 17971, 16567, 59]",85,64,17971,7.14
"[5, 17, 85, 64, 17977, 2528, 9]",85,64,17977,50.0
"[5, 17, 85, 64, 17981, 5900, 21]",85,64,17981,26.19
"[5, 17, 85, 64, 17987, 12085, 43]",85,64,17987,7.14
"[5, 17, 85, 64, 17989, 3654, 13]",85,64,17989,26.19
"[5, 17, 85, 64, 18013, 14917, 53]",85,64,18013,26.19
"[5, 17, 85, 64, 18041, 2537, 9]",85,64,18041,50.0
"[5, 17, 85, 64, 18043, 14378, 51]",85,64,18043,7.14
"[5, 17, 85, 64, 18047, 17765, 63]",85,64,18047,7.14
"[5, 17, 85, 64, 18049, 282, 1]",85,64,18049,97.62
"[5, 17, 85, 64, 18059, 9876, 35]",85,64,18059,7.14
"[5, 17, 85, 64, 18061, 1411, 5]",85,64,18061,26.19
"[5, 17, 85, 64, 18077, 14970, 53]",85,64,18077,26.19
"[5, 17, 85, 64, 18089, 7066, 25]",85,64,18089,50.0
"[5, 17, 85, 64, 18097, 4807, 17]",85,64,18097,97.62
"[5, 17, 85, 64, 18119, 15571, 55]",85,64,18119,7.14
"[5, 17, 85, 64, 18121, 16139, 57]",85,64,18121,50.0
"[5, 17, 85, 64, 18127, 13312, 47]",85,64,18127,7.14
"[5, 17, 85, 64, 18131, 7649, 27]",85,64,18131,7.14
"[5, 17, 85, 64, 18133, 17283, 61]",85,64,18133,26.19
"[5, 17, 85, 64, 18143, 8788, 31]",85,64,18143,7.14
"[5, 17, 85, 64, 18149, 12761, 45]",85,64,18149,26.19
"[5, 17, 85, 64, 18169, 2555, 9]",85,64,18169,50.0
"[5, 17, 85, 64, 18181, 3693, 13]",85,64,18181,26.19
"[5, 17, 85, 64, 18191, 13359, 47]",85,64,18191,7.14
"[5, 17, 85, 64, 18199, 11090, 39]",85,64,18199,7.14
"[5, 17, 85, 64, 18211, 3130, 11]",85,64,18211,7.14
"[5, 17, 85, 64, 18217, 7116, 25]",85,64,18217,50.0
"[5, 17, 85, 64, 18223, 4271, 15]",85,64,18223,7.14
"[5, 17, 85, 64, 18229, 8260, 29]",85,64,18229,26.19
"[5, 17, 85, 64, 18233, 2564, 9]",85,64,18233,50.0
"[5, 17, 85, 64, 18251, 9981, 35]",85,64,18251,7.14
"[5, 17, 85, 64, 18253, 1426, 5]",85,64,18253,26.19
"[5, 17, 85, 64, 18257, 13978, 49]",85,64,18257,97.62
"[5, 17, 85, 64, 18269, 15129, 53]",85,64,18269,26.19
"[5, 17, 85, 64, 18287, 4286, 15]",85,64,18287,7.14
"[5, 17, 85, 64, 18289, 4858, 17]",85,64,18289,97.62
"[5, 17, 85, 64, 18301, 6005, 21]",85,64,18301,26.19
"[5, 17, 85, 64, 18307, 12300, 43]",85,64,18307,7.14
"[5, 17, 85, 64, 18311, 15736, 55]",85,64,18311,7.14
"[5, 17, 85, 64, 18313, 16310, 57]",85,64,18313,50.0
"[5, 17, 85, 64, 18329, 11742, 41]",85,64,18329,50.0
"[5, 17, 85, 64, 18341, 12896, 45]",85,64,18341,26.19
"[5, 17, 85, 64, 18353, 4875, 17]",85,64,18353,97.62
"[5, 17, 85, 64, 18367, 18080, 63]",85,64,18367,7.14
"[5, 17, 85, 64, 18371, 12343, 43]",85,64,18371,7.14
"[5, 17, 85, 64, 18379, 10051, 35]",85,64,18379,7.14
"[5, 17, 85, 64, 18397, 15235, 53]",85,64,18397,26.19
"[5, 17, 85, 64, 18401, 9488, 33]",85,64,18401,97.62
"[5, 17, 85, 64, 18413, 10645, 37]",85,64,18413,26.19
"[5, 17, 85, 64, 18427, 14684, 51]",85,64,18427,7.14
"[5, 17, 85, 64, 18433, 288, 1]",85,64,18433,97.62
"[5, 17, 85, 64, 18439, 15846, 55]",85,64,18439,7.14
"[5, 17, 85, 64, 18443, 10086, 35]",85,64,18443,7.14
"[5, 17, 85, 64, 18451, 7784, 27]",85,64,18451,7.14
"[5, 17, 85, 64, 18457, 11824, 41]",85,64,18457,50.0
"[5, 17, 85, 64, 18461, 15288, 53]",85,64,18461,26.19
"[5, 17, 85, 64, 18481, 4909, 17]",85,64,18481,97.62
"[5, 17, 85, 64, 18493, 6068, 21]",85,64,18493,26.19
"[5, 17, 85, 64, 18503, 15901, 55]",85,64,18503,7.14
"[5, 17, 85, 64, 18517, 17649, 61]",85,64,18517,26.19
"[5, 17, 85, 64, 18521, 11865, 41]",85,64,18521,50.0
"[5, 17, 85, 64, 18523, 5499, 19]",85,64,18523,7.14
"[5, 17, 85, 64, 18539, 869, 3]",85,64,18539,7.14
"[5, 17, 85, 64, 18541, 10719, 37]",85,64,18541,26.19
"[5, 17, 85, 64, 18553, 2609, 9]",85,64,18553,50.0
"[5, 17, 85, 64, 18583, 11324, 39]",85,64,18583,7.14
"[5, 17, 85, 64, 18587, 5518, 19]",85,64,18587,7.14
"[5, 17, 85, 64, 18593, 9587, 33]",85,64,18593,97.62
"[5, 17, 85, 64, 18617, 2618, 9]",85,64,18617,50.0
"[5, 17, 85, 64, 18637, 1456, 5]",85,64,18637,26.19
"[5, 17, 85, 64, 18661, 13121, 45]",85,64,18661,26.19
"[5, 17, 85, 64, 18671, 4376, 15]",85,64,18671,7.14
"[5, 17, 85, 64, 18679, 2043, 7]",85,64,18679,7.14
"[5, 17, 85, 64, 18691, 12558, 43]",85,64,18691,7.14
"[5, 17, 85, 64, 18701, 1461, 5]",85,64,18701,26.19
"[5, 17, 85, 64, 18713, 11988, 41]",85,64,18713,50.0
"[5, 17, 85, 64, 18719, 9067, 31]",85,64,18719,7.14
"[5, 17, 85, 64, 18731, 878, 3]",85,64,18731,7.14
"[5, 17, 85, 64, 18743, 2050, 7]",85,64,18743,7.14
"[5, 17, 85, 64, 18749, 6152, 21]",85,64,18749,26.19
"[5, 17, 85, 64, 18757, 3810, 13]",85,64,18757,26.19
"[5, 17, 85, 64, 18773, 17893, 61]",85,64,18773,26.19
"[5, 17, 85, 64, 18787, 3229, 11]",85,64,18787,7.14
"[5, 17, 85, 64, 18793, 7341, 25]",85,64,18793,50.0
"[5, 17, 85, 64, 18797, 10867, 37]",85,64,18797,26.19
"[5, 17, 85, 64, 18803, 17334, 59]",85,64,18803,7.14
"[5, 17, 85, 64, 18839, 11480, 39]",85,64,18839,7.14
"[5, 17, 85, 64, 18859, 884, 3]",85,64,18859,7.14
"[5, 17, 85, 64, 18869, 8550, 29]",85,64,18869,26.19
"[5, 17, 85, 64, 18899, 7973, 27]",85,64,18899,7.14
"[5, 17, 85, 64, 18911, 9160, 31]",85,64,18911,7.14
"[5, 17, 85, 64, 18913, 9752, 33]",85,64,18913,97.62
"[5, 17, 85, 64, 18917, 13301, 45]",85,64,18917,26.19
"[5, 17, 85, 64, 18919, 6799, 23]",85,64,18919,7.14
"[5, 17, 85, 64, 18947, 12730, 43]",85,64,18947,7.14
"[5, 17, 85, 64, 18959, 13923, 47]",85,64,18959,7.14
"[5, 17, 85, 64, 18973, 15712, 53]",85,64,18973,26.19
"[5, 17, 85, 64, 18979, 3262, 11]",85,64,18979,7.14
"[5, 17, 85, 64, 19001, 2672, 9]",85,64,19001,50.0
"[5, 17, 85, 64, 19009, 297, 1]",85,64,19009,97.62
"[5, 17, 85, 64, 19013, 3862, 13]",85,64,19013,26.19
"[5, 17, 85, 64, 19031, 11597, 39]",85,64,19031,7.14
"[5, 17, 85, 64, 19037, 15765, 53]",85,64,19037,26.19
"[5, 17, 85, 64, 19051, 893, 3]",85,64,19051,7.14
"[5, 17, 85, 64, 19069, 6257, 21]",85,64,19069,26.19
"[5, 17, 85, 64, 19073, 298, 1]",85,64,19073,97.62
"[5, 17, 85, 64, 19079, 16396, 55]",85,64,19079,7.14
"[5, 17, 85, 64, 19081, 16994, 57]",85,64,19081,50.0
"[5, 17, 85, 64, 19087, 14017, 47]",85,64,19087,7.14
"[5, 17, 85, 64, 19121, 5079, 17]",85,64,19121,97.62
"[5, 17, 85, 64, 19139, 12859, 43]",85,64,19139,7.14
"[5, 17, 85, 64, 19141, 3888, 13]",85,64,19141,26.19
"[5, 17, 85, 64, 19157, 18259, 61]",85,64,19157,26.19
"[5, 17, 85, 64, 19163, 5689, 19]",85,64,19163,7.14
"[5, 17, 85, 64, 19181, 11089, 37]",85,64,19181,26.19
"[5, 17, 85, 64, 19183, 4496, 15]",85,64,19183,7.14
"[5, 17, 85, 64, 19207, 16506, 55]",85,64,19207,7.14
"[5, 17, 85, 64, 19211, 10506, 35]",85,64,19211,7.14
"[5, 17, 85, 64, 19213, 1501, 5]",85,64,19213,26.19
"[5, 17, 85, 64, 19219, 8108, 27]",85,64,19219,7.14
"[5, 17, 85, 64, 19231, 9315, 31]",85,64,19231,7.14
"[5, 17, 85, 64, 19237, 13526, 45]",85,64,19237,26.19
"[5, 17, 85, 64, 19249, 5113, 17]",85,64,19249,97.62
"[5, 17, 85, 64, 19259, 15347, 51]",85,64,19259,7.14
"[5, 17, 85, 64, 19267, 12945, 43]",85,64,19267,7.14
"[5, 17, 85, 64, 19273, 17165, 57]",85,64,19273,50.0
"[5, 17, 85, 64, 19289, 12357, 41]",85,64,19289,50.0
"[5, 17, 85, 64, 19301, 13571, 45]",85,64,19301,26.19
"[5, 17, 85, 64, 19309, 11163, 37]",85,64,19309,26.19
"[5, 17, 85, 64, 19319, 2113, 7]",85,64,19319,7.14
"[5, 17, 85, 64, 19333, 3927, 13]",85,64,19333,26.19
"[5, 17, 85, 64, 19373, 11200, 37]",85,64,19373,26.19
"[5, 17, 85, 64, 19379, 17865, 59]",85,64,19379,7.14
"[5, 17, 85, 64, 19381, 8782, 29]",85,64,19381,26.19
"[5, 17, 85, 64, 19387, 15449, 51]",85,64,19387,7.14
"[5, 17, 85, 64, 19391, 19088, 63]",85,64,19391,7.14
"[5, 17, 85, 64, 19403, 10611, 35]",85,64,19403,7.14
"[5, 17, 85, 64, 19417, 12439, 41]",85,64,19417,50.0
"[5, 17, 85, 64, 19421, 16083, 53]",85,64,19421,26.19
"[5, 17, 85, 64, 19423, 9408, 31]",85,64,19423,7.14
"[5, 17, 85, 64, 19427, 3339, 11]",85,64,19427,7.14
"[5, 17, 85, 64, 19429, 13661, 45]",85,64,19429,26.19
"[5, 17, 85, 64, 19433, 7591, 25]",85,64,19433,50.0
"[5, 17, 85, 64, 19441, 5164, 17]",85,64,19441,97.62
"[5, 17, 85, 64, 19447, 2127, 7]",85,64,19447,7.14
"[5, 17, 85, 64, 19457, 304, 1]",85,64,19457,97.62
"[5, 17, 85, 64, 19463, 16726, 55]",85,64,19463,7.14
"[5, 17, 85, 64, 19469, 1521, 5]",85,64,19469,26.19
"[5, 17, 85, 64, 19471, 14299, 47]",85,64,19471,7.14
"[5, 17, 85, 64, 19477, 18564, 61]",85,64,19477,26.19
"[5, 17, 85, 64, 19483, 5784, 19]",85,64,19483,7.14
"[5, 17, 85, 64, 19489, 10049, 33]",85,64,19489,97.62
"[5, 17, 85, 64, 19501, 11274, 37]",85,64,19501,26.19
"[5, 17, 85, 64, 19507, 17983, 59]",85,64,19507,7.14
"[5, 17, 85, 64, 19531, 10681, 35]",85,64,19531,7.14
"[5, 17, 85, 64, 19541, 18625, 61]",85,64,19541,26.19
"[5, 17, 85, 64, 19543, 11909, 39]",85,64,19543,7.14
"[5, 17, 85, 64, 19553, 10082, 33]",85,64,19553,97.62
"[5, 17, 85, 64, 19559, 7029, 23]",85,64,19559,7.14
"[5, 17, 85, 64, 19571, 18042, 59]",85,64,19571,7.14
"[5, 17, 85, 64, 19577, 2753, 9]",85,64,19577,50.0
"[5, 17, 85, 64, 19583, 19277, 63]",85,64,19583,7.14
"[5, 17, 85, 64, 19597, 1531, 5]",85,64,19597,26.19
"[5, 17, 85, 64, 19603, 8270, 27]",85,64,19603,7.14
"[5, 17, 85, 64, 19609, 12562, 41]",85,64,19609,50.0
"[5, 17, 85, 64, 19661, 1536, 5]",85,64,19661,26.19
"[5, 17, 85, 64, 19681, 10148, 33]",85,64,19681,97.62
"[5, 17, 85, 64, 19687, 7075, 23]",85,64,19687,7.14
"[5, 17, 85, 64, 19697, 5232, 17]",85,64,19697,97.62
"[5, 17, 85, 64, 19699, 18160, 59]",85,64,19699,7.14
"[5, 17, 85, 64, 19709, 6467, 21]",85,64,19709,26.19
"[5, 17, 85, 64, 19717, 4005, 13]",85,64,19717,26.19
"[5, 17, 85, 64, 19727, 14487, 47]",85,64,19727,7.14
"[5, 17, 85, 64, 19739, 5860, 19]",85,64,19739,7.14
"[5, 17, 85, 64, 19751, 7098, 23]",85,64,19751,7.14
"[5, 17, 85, 64, 19753, 7716, 25]",85,64,19753,50.0
"[5, 17, 85, 64, 19759, 4631, 15]",85,64,19759,7.14
"[5, 17, 85, 64, 19763, 18219, 59]",85,64,19763,7.14
"[5, 17, 85, 64, 19777, 309, 1]",85,64,19777,97.62
"[5, 17, 85, 64, 19793, 15154, 49]",85,64,19793,97.62
"[5, 17, 85, 64, 19801, 12685, 41]",85,64,19801,50.0
"[5, 17, 85, 64, 19813, 13931, 45]",85,64,19813,26.19
"[5, 17, 85, 64, 19819, 929, 3]",85,64,19819,7.14
"[5, 17, 85, 64, 19841, 310, 1]",85,64,19841,97.62
"[5, 17, 85, 64, 19843, 13332, 43]",85,64,19843,7.14
"[5, 17, 85, 64, 19853, 1551, 5]",85,64,19853,26.19
"[5, 17, 85, 64, 19861, 18930, 61]",85,64,19861,26.19
"[5, 17, 85, 64, 19867, 5898, 19]",85,64,19867,7.14
"[5, 17, 85, 64, 19889, 5283, 17]",85,64,19889,97.62
"[5, 17, 85, 64, 19891, 18337, 59]",85,64,19891,7.14
"[5, 17, 85, 64, 19913, 17735, 57]",85,64,19913,50.0
"[5, 17, 85, 64, 19919, 14628, 47]",85,64,19919,7.14
"[5, 17, 85, 64, 19927, 12143, 39]",85,64,19927,7.14
"[5, 17, 85, 64, 19937, 10280, 33]",85,64,19937,97.62
"[5, 17, 85, 64, 19949, 11533, 37]",85,64,19949,26.19
"[5, 17, 85, 64, 19961, 2807, 9]",85,64,19961,50.0
"[5, 17, 85, 64, 19963, 15908, 51]",85,64,19963,7.14
"[5, 17, 85, 64, 19973, 4057, 13]",85,64,19973,26.19
"[5, 17, 85, 64, 19979, 10926, 35]",85,64,19979,7.14
"[5, 17, 85, 64, 19991, 12182, 39]",85,64,19991,7.14
"[5, 17, 85, 64, 19993, 12808, 41]",85,64,19993,50.0
"[5, 17, 85, 64, 19997, 16560, 53]",85,64,19997,26.19
"[5, 17, 85, 64, 20011, 938, 3]",85,64,20011,7.14
"[5, 17, 85, 64, 20021, 9072, 29]",85,64,20021,26.19
"[5, 17, 85, 64, 20023, 2190, 7]",85,64,20023,7.14
"[5, 17, 85, 64, 20029, 6572, 21]",85,64,20029,26.19
"[5, 17, 85, 64, 20047, 14722, 47]",85,64,20047,7.14
"[5, 17, 85, 64, 20051, 8459, 27]",85,64,20051,7.14
"[5, 17, 85, 64, 20063, 9718, 31]",85,64,20063,7.14
"[5, 17, 85, 64, 20071, 7213, 23]",85,64,20071,7.14
"[5, 17, 85, 64, 20089, 2825, 9]",85,64,20089,50.0
"[5, 17, 85, 64, 20101, 4083, 13]",85,64,20101,26.19
"[5, 17, 85, 64, 20107, 10996, 35]",85,64,20107,7.14
"[5, 17, 85, 64, 20113, 15399, 49]",85,64,20113,97.62
"[5, 17, 85, 64, 20117, 19174, 61]",85,64,20117,26.19
"[5, 17, 85, 64, 20123, 5974, 19]",85,64,20123,7.14
"[5, 17, 85, 64, 20129, 10379, 33]",85,64,20129,97.62
"[5, 17, 85, 64, 20143, 4721, 15]",85,64,20143,7.14
"[5, 17, 85, 64, 20147, 18573, 59]",85,64,20147,7.14
"[5, 17, 85, 64, 20149, 9130, 29]",85,64,20149,26.19
"[5, 17, 85, 64, 20161, 315, 1]",85,64,20161,97.62
"[5, 17, 85, 64, 20173, 1576, 5]",85,64,20173,26.19
"[5, 17, 85, 64, 20177, 15448, 49]",85,64,20177,97.62
"[5, 17, 85, 64, 20183, 12299, 39]",85,64,20183,7.14
"[5, 17, 85, 64, 20201, 7891, 25]",85,64,20201,50.0
"[5, 17, 85, 64, 20219, 16112, 51]",85,64,20219,7.14
"[5, 17, 85, 64, 20231, 17386, 55]",85,64,20231,7.14
"[5, 17, 85, 64, 20233, 18020, 57]",85,64,20233,50.0
"[5, 17, 85, 64, 20249, 12972, 41]",85,64,20249,50.0
"[5, 17, 85, 64, 20261, 14246, 45]",85,64,20261,26.19
"[5, 17, 85, 64, 20269, 11718, 37]",85,64,20269,26.19
"[5, 17, 85, 64, 20287, 19970, 63]",85,64,20287,7.14
"[5, 17, 85, 64, 20297, 18077, 57]",85,64,20297,50.0
"[5, 17, 85, 64, 20323, 3493, 11]",85,64,20323,7.14
"[5, 17, 85, 64, 20327, 7305, 23]",85,64,20327,7.14
"[5, 17, 85, 64, 20333, 11755, 37]",85,64,20333,26.19
"[5, 17, 85, 64, 20341, 9217, 29]",85,64,20341,26.19
"[5, 17, 85, 64, 20347, 16214, 51]",85,64,20347,7.14
"[5, 17, 85, 64, 20353, 318, 1]",85,64,20353,97.62
"[5, 17, 85, 64, 20357, 4135, 13]",85,64,20357,26.19
"[5, 17, 85, 64, 20359, 17496, 55]",85,64,20359,7.14
"[5, 17, 85, 64, 20369, 15595, 49]",85,64,20369,97.62
"[5, 17, 85, 64, 20389, 14336, 45]",85,64,20389,26.19
"[5, 17, 85, 64, 20393, 7966, 25]",85,64,20393,50.0
"[5, 17, 85, 64, 20399, 4781, 15]",85,64,20399,7.14
"[5, 17, 85, 64, 20407, 2232, 7]",85,64,20407,7.14
"[5, 17, 85, 64, 20411, 16265, 51]",85,64,20411,7.14
"[5, 17, 85, 64, 20431, 15004, 47]",85,64,20431,7.14
"[5, 17, 85, 64, 20441, 13095, 41]",85,64,20441,50.0
"[5, 17, 85, 64, 20443, 6069, 19]",85,64,20443,7.14
"[5, 17, 85, 64, 20477, 6719, 21]",85,64,20477,26.19
"[5, 17, 85, 64, 20479, 20159, 63]",85,64,20479,7.14
"[5, 17, 85, 64, 20483, 13762, 43]",85,64,20483,7.14
"[5, 17, 85, 64, 20507, 6088, 19]",85,64,20507,7.14
"[5, 17, 85, 64, 20509, 16984, 53]",85,64,20509,26.19
"[5, 17, 85, 64, 20521, 8016, 25]",85,64,20521,50.0
"[5, 17, 85, 64, 20533, 9304, 29]",85,64,20533,26.19
"[5, 17, 85, 64, 20543, 20222, 63]",85,64,20543,7.14
"[5, 17, 85, 64, 20549, 4174, 13]",85,64,20549,26.19
"[5, 17, 85, 64, 20551, 17661, 55]",85,64,20551,7.14
"[5, 17, 85, 64, 20563, 8675, 27]",85,64,20563,7.14
"[5, 17, 85, 64, 20593, 5470, 17]",85,64,20593,97.62
"[5, 17, 85, 64, 20599, 2253, 7]",85,64,20599,7.14
"[5, 17, 85, 64, 20611, 13848, 43]",85,64,20611,7.14
"[5, 17, 85, 64, 20627, 8702, 27]",85,64,20627,7.14
"[5, 17, 85, 64, 20639, 9997, 31]",85,64,20639,7.14
"[5, 17, 85, 64, 20641, 10643, 33]",85,64,20641,97.62
"[5, 17, 85, 64, 20663, 2260, 7]",85,64,20663,7.14
"[5, 17, 85, 64, 20681, 18419, 57]",85,64,20681,50.0
"[5, 17, 85, 64, 20693, 19723, 61]",85,64,20693,26.19
"[5, 17, 85, 64, 20707, 3559, 11]",85,64,20707,7.14
