"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[3, 17, 51, 32, 3, 1, 11]",51,32,3,12.0
"[3, 17, 51, 32, 5, 2, 13]",51,32,5,24.0
"[3, 17, 51, 32, 7, 5, 23]",51,32,7,12.0
"[3, 17, 51, 32, 11, 1, 3]",51,32,11,12.0
"[3, 17, 51, 32, 13, 2, 5]",51,32,13,24.0
"[3, 17, 51, 32, 17, 9, 17]",51,32,17,96.0
"[3, 17, 51, 32, 19, 16, 27]",51,32,19,12.0
"[3, 17, 51, 32, 23, 5, 7]",51,32,23,12.0
"[3, 17, 51, 32, 29, 19, 21]",51,32,29,24.0
"[3, 17, 51, 32, 31, 30, 31]",51,32,31,12.0
"[3, 17, 51, 32, 37, 15, 13]",51,32,37,24.0
"[3, 17, 51, 32, 41, 32, 25]",51,32,41,48.0
"[3, 17, 51, 32, 43, 4, 3]",51,32,43,12.0
"[3, 17, 51, 32, 47, 22, 15]",51,32,47,12.0
"[3, 17, 51, 32, 53, 48, 29]",51,32,53,24.0
"[3, 17, 51, 32, 59, 35, 19]",51,32,59,12.0
"[3, 17, 51, 32, 61, 40, 21]",51,32,61,24.0
"[3, 17, 51, 32, 67, 23, 11]",51,32,67,12.0
"[3, 17, 51, 32, 71, 51, 23]",51,32,71,12.0
"[3, 17, 51, 32, 73, 57, 25]",51,32,73,48.0
"[3, 17, 51, 32, 79, 37, 15]",51,32,79,12.0
"[3, 17, 51, 32, 83, 70, 27]",51,32,83,12.0
"[3, 17, 51, 32, 89, 25, 9]",51,32,89,48.0
"[3, 17, 51, 32, 97, 3, 1]",51,32,97,96.0
"[3, 17, 51, 32, 101, 41, 13]",51,32,101,24.0
"[3, 17, 51, 32, 103, 74, 23]",51,32,103,12.0
"[3, 17, 51, 32, 107, 10, 3]",51,32,107,12.0
"[3, 17, 51, 32, 109, 17, 5]",51,32,109,24.0
"[3, 17, 51, 32, 113, 60, 17]",51,32,113,96.0
"[3, 17, 51, 32, 127, 123, 31]",51,32,127,12.0
"[3, 17, 51, 32, 131, 45, 11]",51,32,131,12.0
"[3, 17, 51, 32, 137, 107, 25]",51,32,137,48.0
"[3, 17, 51, 32, 139, 13, 3]",51,32,139,12.0
"[3, 17, 51, 32, 149, 135, 29]",51,32,149,24.0
"[3, 17, 51, 32, 151, 33, 7]",51,32,151,12.0
"[3, 17, 51, 32, 157, 103, 21]",51,32,157,24.0
"[3, 17, 51, 32, 163, 56, 11]",51,32,163,12.0
"[3, 17, 51, 32, 167, 120, 23]",51,32,167,12.0
"[3, 17, 51, 32, 173, 27, 5]",51,32,173,24.0
"[3, 17, 51, 32, 179, 151, 27]",51,32,179,12.0
"[3, 17, 51, 32, 181, 164, 29]",51,32,181,24.0
"[3, 17, 51, 32, 191, 185, 31]",51,32,191,12.0
"[3, 17, 51, 32, 193, 6, 1]",51,32,193,96.0
"[3, 17, 51, 32, 197, 80, 13]",51,32,197,24.0
"[3, 17, 51, 32, 199, 143, 23]",51,32,199,12.0
"[3, 17, 51, 32, 211, 178, 27]",51,32,211,12.0
"[3, 17, 51, 32, 223, 216, 31]",51,32,223,12.0
"[3, 17, 51, 32, 227, 78, 11]",51,32,227,12.0
"[3, 17, 51, 32, 229, 93, 13]",51,32,229,24.0
"[3, 17, 51, 32, 233, 182, 25]",51,32,233,48.0
"[3, 17, 51, 32, 239, 112, 15]",51,32,239,12.0
"[3, 17, 51, 32, 241, 128, 17]",51,32,241,96.0
"[3, 17, 51, 32, 251, 149, 19]",51,32,251,12.0
"[3, 17, 51, 32, 257, 8, 1]",51,32,257,96.0
"[3, 17, 51, 32, 263, 189, 23]",51,32,263,12.0
"[3, 17, 51, 32, 269, 42, 5]",51,32,269,24.0
"[3, 17, 51, 32, 271, 127, 15]",51,32,271,12.0
"[3, 17, 51, 32, 277, 251, 29]",51,32,277,24.0
"[3, 17, 51, 32, 281, 79, 9]",51,32,281,48.0
"[3, 17, 51, 32, 283, 168, 19]",51,32,283,12.0
"[3, 17, 51, 32, 293, 119, 13]",51,32,293,24.0
"[3, 17, 51, 32, 307, 259, 27]",51,32,307,12.0
"[3, 17, 51, 32, 311, 68, 7]",51,32,311,12.0
"[3, 17, 51, 32, 313, 88, 9]",51,32,313,48.0
"[3, 17, 51, 32, 317, 208, 21]",51,32,317,24.0
"[3, 17, 51, 32, 331, 31, 3]",51,32,331,12.0
"[3, 17, 51, 32, 337, 179, 17]",51,32,337,96.0
"[3, 17, 51, 32, 347, 206, 19]",51,32,347,12.0
"[3, 17, 51, 32, 349, 229, 21]",51,32,349,24.0
"[3, 17, 51, 32, 353, 11, 1]",51,32,353,96.0
"[3, 17, 51, 32, 359, 258, 23]",51,32,359,12.0
"[3, 17, 51, 32, 367, 172, 15]",51,32,367,12.0
"[3, 17, 51, 32, 373, 338, 29]",51,32,373,24.0
"[3, 17, 51, 32, 379, 225, 19]",51,32,379,12.0
"[3, 17, 51, 32, 383, 371, 31]",51,32,383,12.0
"[3, 17, 51, 32, 389, 158, 13]",51,32,389,24.0
"[3, 17, 51, 32, 397, 62, 5]",51,32,397,24.0
"[3, 17, 51, 32, 401, 213, 17]",51,32,401,96.0
"[3, 17, 51, 32, 409, 115, 9]",51,32,409,48.0
"[3, 17, 51, 32, 419, 144, 11]",51,32,419,12.0
"[3, 17, 51, 32, 421, 171, 13]",51,32,421,24.0
"[3, 17, 51, 32, 431, 202, 15]",51,32,431,12.0
"[3, 17, 51, 32, 433, 230, 17]",51,32,433,96.0
"[3, 17, 51, 32, 439, 96, 7]",51,32,439,12.0
"[3, 17, 51, 32, 443, 263, 19]",51,32,443,12.0
"[3, 17, 51, 32, 449, 14, 1]",51,32,449,96.0
"[3, 17, 51, 32, 457, 357, 25]",51,32,457,48.0
"[3, 17, 51, 32, 461, 72, 5]",51,32,461,24.0
"[3, 17, 51, 32, 463, 217, 15]",51,32,463,12.0
"[3, 17, 51, 32, 467, 394, 27]",51,32,467,12.0
"[3, 17, 51, 32, 479, 464, 31]",51,32,479,12.0
"[3, 17, 51, 32, 487, 350, 23]",51,32,487,12.0
"[3, 17, 51, 32, 491, 46, 3]",51,32,491,12.0
"[3, 17, 51, 32, 499, 421, 27]",51,32,499,12.0
"[3, 17, 51, 32, 503, 110, 7]",51,32,503,12.0
"[3, 17, 51, 32, 509, 334, 21]",51,32,509,24.0
"[3, 17, 51, 32, 521, 407, 25]",51,32,521,48.0
"[3, 17, 51, 32, 523, 49, 3]",51,32,523,12.0
"[3, 17, 51, 32, 541, 355, 21]",51,32,541,24.0
"[3, 17, 51, 32, 547, 188, 11]",51,32,547,12.0
"[3, 17, 51, 32, 557, 87, 5]",51,32,557,24.0
"[3, 17, 51, 32, 563, 475, 27]",51,32,563,12.0
"[3, 17, 51, 32, 569, 160, 9]",51,32,569,48.0
"[3, 17, 51, 32, 571, 339, 19]",51,32,571,12.0
"[3, 17, 51, 32, 577, 18, 1]",51,32,577,96.0
"[3, 17, 51, 32, 587, 55, 3]",51,32,587,12.0
"[3, 17, 51, 32, 593, 315, 17]",51,32,593,96.0
"[3, 17, 51, 32, 599, 131, 7]",51,32,599,12.0
"[3, 17, 51, 32, 601, 169, 9]",51,32,601,48.0
"[3, 17, 51, 32, 607, 588, 31]",51,32,607,12.0
"[3, 17, 51, 32, 613, 249, 13]",51,32,613,24.0
"[3, 17, 51, 32, 617, 482, 25]",51,32,617,48.0
"[3, 17, 51, 32, 619, 58, 3]",51,32,619,12.0
"[3, 17, 51, 32, 631, 138, 7]",51,32,631,12.0
"[3, 17, 51, 32, 641, 20, 1]",51,32,641,96.0
"[3, 17, 51, 32, 643, 221, 11]",51,32,643,12.0
"[3, 17, 51, 32, 647, 465, 23]",51,32,647,12.0
"[3, 17, 51, 32, 653, 102, 5]",51,32,653,24.0
"[3, 17, 51, 32, 659, 556, 27]",51,32,659,12.0
"[3, 17, 51, 32, 661, 599, 29]",51,32,661,24.0
"[3, 17, 51, 32, 673, 21, 1]",51,32,673,96.0
"[3, 17, 51, 32, 677, 275, 13]",51,32,677,24.0
"[3, 17, 51, 32, 683, 64, 3]",51,32,683,12.0
"[3, 17, 51, 32, 691, 583, 27]",51,32,691,12.0
"[3, 17, 51, 32, 701, 460, 21]",51,32,701,24.0
"[3, 17, 51, 32, 709, 288, 13]",51,32,709,24.0
"[3, 17, 51, 32, 719, 337, 15]",51,32,719,12.0
"[3, 17, 51, 32, 727, 159, 7]",51,32,727,12.0
"[3, 17, 51, 32, 733, 481, 21]",51,32,733,24.0
"[3, 17, 51, 32, 739, 254, 11]",51,32,739,12.0
"[3, 17, 51, 32, 743, 534, 23]",51,32,743,12.0
"[3, 17, 51, 32, 751, 352, 15]",51,32,751,12.0
"[3, 17, 51, 32, 757, 686, 29]",51,32,757,24.0
"[3, 17, 51, 32, 761, 214, 9]",51,32,761,48.0
"[3, 17, 51, 32, 769, 24, 1]",51,32,769,96.0
"[3, 17, 51, 32, 773, 314, 13]",51,32,773,24.0
"[3, 17, 51, 32, 787, 664, 27]",51,32,787,12.0
"[3, 17, 51, 32, 797, 523, 21]",51,32,797,24.0
"[3, 17, 51, 32, 809, 632, 25]",51,32,809,48.0
"[3, 17, 51, 32, 811, 76, 3]",51,32,811,12.0
"[3, 17, 51, 32, 821, 744, 29]",51,32,821,24.0
"[3, 17, 51, 32, 823, 180, 7]",51,32,823,12.0
"[3, 17, 51, 32, 827, 491, 19]",51,32,827,12.0
"[3, 17, 51, 32, 829, 544, 21]",51,32,829,24.0
"[3, 17, 51, 32, 839, 603, 23]",51,32,839,12.0
"[3, 17, 51, 32, 853, 773, 29]",51,32,853,24.0
"[3, 17, 51, 32, 857, 241, 9]",51,32,857,48.0
"[3, 17, 51, 32, 859, 510, 19]",51,32,859,12.0
"[3, 17, 51, 32, 863, 836, 31]",51,32,863,12.0
"[3, 17, 51, 32, 877, 137, 5]",51,32,877,24.0
"[3, 17, 51, 32, 881, 468, 17]",51,32,881,96.0
"[3, 17, 51, 32, 883, 745, 27]",51,32,883,12.0
"[3, 17, 51, 32, 887, 194, 7]",51,32,887,12.0
"[3, 17, 51, 32, 907, 85, 3]",51,32,907,12.0
"[3, 17, 51, 32, 911, 427, 15]",51,32,911,12.0
"[3, 17, 51, 32, 919, 201, 7]",51,32,919,12.0
"[3, 17, 51, 32, 929, 29, 1]",51,32,929,96.0
"[3, 17, 51, 32, 937, 732, 25]",51,32,937,48.0
"[3, 17, 51, 32, 941, 147, 5]",51,32,941,24.0
"[3, 17, 51, 32, 947, 799, 27]",51,32,947,12.0
"[3, 17, 51, 32, 953, 268, 9]",51,32,953,48.0
"[3, 17, 51, 32, 967, 695, 23]",51,32,967,12.0
"[3, 17, 51, 32, 971, 91, 3]",51,32,971,12.0
"[3, 17, 51, 32, 977, 519, 17]",51,32,977,96.0
"[3, 17, 51, 32, 983, 215, 7]",51,32,983,12.0
"[3, 17, 51, 32, 991, 960, 31]",51,32,991,12.0
"[3, 17, 51, 32, 997, 405, 13]",51,32,997,24.0
"[3, 17, 51, 32, 1009, 536, 17]",51,32,1009,96.0
"[3, 17, 51, 32, 1013, 918, 29]",51,32,1013,24.0
"[3, 17, 51, 32, 1019, 605, 19]",51,32,1019,12.0
"[3, 17, 51, 32, 1021, 670, 21]",51,32,1021,24.0
"[3, 17, 51, 32, 1031, 741, 23]",51,32,1031,12.0
