"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[3, 17, 51, 32, 1033, 807, 25]",51,32,1033,48.0
"[3, 17, 51, 32, 1039, 487, 15]",51,32,1039,12.0
"[3, 17, 51, 32, 1049, 295, 9]",51,32,1049,48.0
"[3, 17, 51, 32, 1051, 624, 19]",51,32,1051,12.0
"[3, 17, 51, 32, 1061, 431, 13]",51,32,1061,24.0
"[3, 17, 51, 32, 1063, 764, 23]",51,32,1063,12.0
"[3, 17, 51, 32, 1069, 167, 5]",51,32,1069,24.0
"[3, 17, 51, 32, 1087, 1053, 31]",51,32,1087,12.0
"[3, 17, 51, 32, 1091, 375, 11]",51,32,1091,12.0
"[3, 17, 51, 32, 1093, 444, 13]",51,32,1093,24.0
"[3, 17, 51, 32, 1097, 857, 25]",51,32,1097,48.0
"[3, 17, 51, 32, 1103, 517, 15]",51,32,1103,12.0
"[3, 17, 51, 32, 1109, 1005, 29]",51,32,1109,24.0
"[3, 17, 51, 32, 1117, 733, 21]",51,32,1117,24.0
"[3, 17, 51, 32, 1123, 386, 11]",51,32,1123,12.0
"[3, 17, 51, 32, 1129, 882, 25]",51,32,1129,48.0
"[3, 17, 51, 32, 1151, 1115, 31]",51,32,1151,12.0
"[3, 17, 51, 32, 1153, 36, 1]",51,32,1153,96.0
"[3, 17, 51, 32, 1163, 109, 3]",51,32,1163,12.0
"[3, 17, 51, 32, 1171, 988, 27]",51,32,1171,12.0
"[3, 17, 51, 32, 1181, 775, 21]",51,32,1181,24.0
"[3, 17, 51, 32, 1187, 408, 11]",51,32,1187,12.0
"[3, 17, 51, 32, 1193, 932, 25]",51,32,1193,48.0
"[3, 17, 51, 32, 1201, 638, 17]",51,32,1201,96.0
"[3, 17, 51, 32, 1213, 796, 21]",51,32,1213,24.0
"[3, 17, 51, 32, 1217, 38, 1]",51,32,1217,96.0
"[3, 17, 51, 32, 1223, 879, 23]",51,32,1223,12.0
"[3, 17, 51, 32, 1229, 192, 5]",51,32,1229,24.0
"[3, 17, 51, 32, 1231, 577, 15]",51,32,1231,12.0
"[3, 17, 51, 32, 1237, 1121, 29]",51,32,1237,24.0
"[3, 17, 51, 32, 1249, 39, 1]",51,32,1249,96.0
"[3, 17, 51, 32, 1259, 118, 3]",51,32,1259,12.0
"[3, 17, 51, 32, 1277, 838, 21]",51,32,1277,24.0
"[3, 17, 51, 32, 1279, 1239, 31]",51,32,1279,12.0
"[3, 17, 51, 32, 1283, 441, 11]",51,32,1283,12.0
"[3, 17, 51, 32, 1289, 1007, 25]",51,32,1289,48.0
"[3, 17, 51, 32, 1291, 121, 3]",51,32,1291,12.0
"[3, 17, 51, 32, 1297, 689, 17]",51,32,1297,96.0
"[3, 17, 51, 32, 1301, 1179, 29]",51,32,1301,24.0
"[3, 17, 51, 32, 1303, 285, 7]",51,32,1303,12.0
"[3, 17, 51, 32, 1307, 776, 19]",51,32,1307,12.0
"[3, 17, 51, 32, 1319, 948, 23]",51,32,1319,12.0
"[3, 17, 51, 32, 1321, 1032, 25]",51,32,1321,48.0
"[3, 17, 51, 32, 1327, 622, 15]",51,32,1327,12.0
"[3, 17, 51, 32, 1361, 723, 17]",51,32,1361,96.0
"[3, 17, 51, 32, 1367, 299, 7]",51,32,1367,12.0
"[3, 17, 51, 32, 1373, 901, 21]",51,32,1373,24.0
"[3, 17, 51, 32, 1381, 561, 13]",51,32,1381,24.0
"[3, 17, 51, 32, 1399, 306, 7]",51,32,1399,12.0
"[3, 17, 51, 32, 1409, 44, 1]",51,32,1409,96.0
"[3, 17, 51, 32, 1423, 667, 15]",51,32,1423,12.0
"[3, 17, 51, 32, 1427, 1204, 27]",51,32,1427,12.0
"[3, 17, 51, 32, 1429, 1295, 29]",51,32,1429,24.0
"[3, 17, 51, 32, 1433, 403, 9]",51,32,1433,48.0
"[3, 17, 51, 32, 1439, 1394, 31]",51,32,1439,12.0
"[3, 17, 51, 32, 1447, 1040, 23]",51,32,1447,12.0
"[3, 17, 51, 32, 1451, 136, 3]",51,32,1451,12.0
"[3, 17, 51, 32, 1453, 227, 5]",51,32,1453,24.0
"[3, 17, 51, 32, 1459, 1231, 27]",51,32,1459,12.0
"[3, 17, 51, 32, 1471, 1425, 31]",51,32,1471,12.0
"[3, 17, 51, 32, 1481, 1157, 25]",51,32,1481,48.0
"[3, 17, 51, 32, 1483, 139, 3]",51,32,1483,12.0
"[3, 17, 51, 32, 1487, 697, 15]",51,32,1487,12.0
"[3, 17, 51, 32, 1489, 791, 17]",51,32,1489,96.0
"[3, 17, 51, 32, 1493, 1353, 29]",51,32,1493,24.0
"[3, 17, 51, 32, 1499, 890, 19]",51,32,1499,12.0
"[3, 17, 51, 32, 1511, 1086, 23]",51,32,1511,12.0
"[3, 17, 51, 32, 1523, 1285, 27]",51,32,1523,12.0
"[3, 17, 51, 32, 1531, 909, 19]",51,32,1531,12.0
"[3, 17, 51, 32, 1543, 1109, 23]",51,32,1543,12.0
"[3, 17, 51, 32, 1549, 242, 5]",51,32,1549,24.0
"[3, 17, 51, 32, 1553, 825, 17]",51,32,1553,96.0
"[3, 17, 51, 32, 1559, 341, 7]",51,32,1559,12.0
"[3, 17, 51, 32, 1567, 1518, 31]",51,32,1567,12.0
"[3, 17, 51, 32, 1571, 540, 11]",51,32,1571,12.0
"[3, 17, 51, 32, 1579, 148, 3]",51,32,1579,12.0
"[3, 17, 51, 32, 1583, 742, 15]",51,32,1583,12.0
"[3, 17, 51, 32, 1597, 1048, 21]",51,32,1597,24.0
"[3, 17, 51, 32, 1601, 50, 1]",51,32,1601,96.0
"[3, 17, 51, 32, 1607, 1155, 23]",51,32,1607,12.0
"[3, 17, 51, 32, 1609, 1257, 25]",51,32,1609,48.0
"[3, 17, 51, 32, 1613, 252, 5]",51,32,1613,24.0
"[3, 17, 51, 32, 1619, 1366, 27]",51,32,1619,12.0
"[3, 17, 51, 32, 1621, 1469, 29]",51,32,1621,24.0
"[3, 17, 51, 32, 1627, 966, 19]",51,32,1627,12.0
"[3, 17, 51, 32, 1637, 665, 13]",51,32,1637,24.0
"[3, 17, 51, 32, 1657, 466, 9]",51,32,1657,48.0
"[3, 17, 51, 32, 1663, 1611, 31]",51,32,1663,12.0
"[3, 17, 51, 32, 1667, 573, 11]",51,32,1667,12.0
"[3, 17, 51, 32, 1669, 678, 13]",51,32,1669,24.0
"[3, 17, 51, 32, 1693, 1111, 21]",51,32,1693,24.0
"[3, 17, 51, 32, 1697, 53, 1]",51,32,1697,96.0
"[3, 17, 51, 32, 1699, 584, 11]",51,32,1699,12.0
"[3, 17, 51, 32, 1709, 267, 5]",51,32,1709,24.0
"[3, 17, 51, 32, 1721, 484, 9]",51,32,1721,48.0
"[3, 17, 51, 32, 1723, 1023, 19]",51,32,1723,12.0
"[3, 17, 51, 32, 1733, 704, 13]",51,32,1733,24.0
"[3, 17, 51, 32, 1741, 272, 5]",51,32,1741,24.0
"[3, 17, 51, 32, 1747, 1474, 27]",51,32,1747,12.0
"[3, 17, 51, 32, 1753, 493, 9]",51,32,1753,48.0
"[3, 17, 51, 32, 1759, 1704, 31]",51,32,1759,12.0
"[3, 17, 51, 32, 1777, 944, 17]",51,32,1777,96.0
"[3, 17, 51, 32, 1783, 390, 7]",51,32,1783,12.0
"[3, 17, 51, 32, 1787, 1061, 19]",51,32,1787,12.0
"[3, 17, 51, 32, 1789, 1174, 21]",51,32,1789,24.0
"[3, 17, 51, 32, 1801, 1407, 25]",51,32,1801,48.0
"[3, 17, 51, 32, 1811, 1528, 27]",51,32,1811,12.0
"[3, 17, 51, 32, 1823, 1766, 31]",51,32,1823,12.0
"[3, 17, 51, 32, 1831, 1316, 23]",51,32,1831,12.0
"[3, 17, 51, 32, 1847, 404, 7]",51,32,1847,12.0
"[3, 17, 51, 32, 1861, 756, 13]",51,32,1861,24.0
"[3, 17, 51, 32, 1867, 175, 3]",51,32,1867,12.0
"[3, 17, 51, 32, 1871, 877, 15]",51,32,1871,12.0
"[3, 17, 51, 32, 1873, 995, 17]",51,32,1873,96.0
"[3, 17, 51, 32, 1877, 1701, 29]",51,32,1877,24.0
"[3, 17, 51, 32, 1879, 411, 7]",51,32,1879,12.0
"[3, 17, 51, 32, 1889, 59, 1]",51,32,1889,96.0
"[3, 17, 51, 32, 1901, 297, 5]",51,32,1901,24.0
"[3, 17, 51, 32, 1907, 1609, 27]",51,32,1907,12.0
"[3, 17, 51, 32, 1913, 538, 9]",51,32,1913,48.0
"[3, 17, 51, 32, 1931, 181, 3]",51,32,1931,12.0
"[3, 17, 51, 32, 1933, 302, 5]",51,32,1933,24.0
"[3, 17, 51, 32, 1949, 1279, 21]",51,32,1949,24.0
"[3, 17, 51, 32, 1951, 1890, 31]",51,32,1951,12.0
"[3, 17, 51, 32, 1973, 1788, 29]",51,32,1973,24.0
"[3, 17, 51, 32, 1979, 1175, 19]",51,32,1979,12.0
"[3, 17, 51, 32, 1987, 683, 11]",51,32,1987,12.0
"[3, 17, 51, 32, 1993, 1557, 25]",51,32,1993,48.0
"[3, 17, 51, 32, 1997, 312, 5]",51,32,1997,24.0
"[3, 17, 51, 32, 1999, 937, 15]",51,32,1999,12.0
"[3, 17, 51, 32, 2003, 1690, 27]",51,32,2003,12.0
"[3, 17, 51, 32, 2011, 1194, 19]",51,32,2011,12.0
"[3, 17, 51, 32, 2017, 63, 1]",51,32,2017,96.0
"[3, 17, 51, 32, 2027, 190, 3]",51,32,2027,12.0
"[3, 17, 51, 32, 2029, 317, 5]",51,32,2029,24.0
"[3, 17, 51, 32, 2039, 446, 7]",51,32,2039,12.0
"[3, 17, 51, 32, 2053, 834, 13]",51,32,2053,24.0
"[3, 17, 51, 32, 2063, 967, 15]",51,32,2063,12.0
"[3, 17, 51, 32, 2069, 1875, 29]",51,32,2069,24.0
"[3, 17, 51, 32, 2081, 65, 1]",51,32,2081,96.0
"[3, 17, 51, 32, 2083, 716, 11]",51,32,2083,12.0
"[3, 17, 51, 32, 2087, 1500, 23]",51,32,2087,12.0
"[3, 17, 51, 32, 2089, 1632, 25]",51,32,2089,48.0
"[3, 17, 51, 32, 2099, 1771, 27]",51,32,2099,12.0
"[3, 17, 51, 32, 2111, 2045, 31]",51,32,2111,12.0
"[3, 17, 51, 32, 2113, 66, 1]",51,32,2113,96.0
"[3, 17, 51, 32, 2129, 1131, 17]",51,32,2129,96.0
"[3, 17, 51, 32, 2131, 1798, 27]",51,32,2131,12.0
"[3, 17, 51, 32, 2137, 601, 9]",51,32,2137,48.0
"[3, 17, 51, 32, 2141, 1405, 21]",51,32,2141,24.0
"[3, 17, 51, 32, 2143, 2076, 31]",51,32,2143,12.0
"[3, 17, 51, 32, 2153, 1682, 25]",51,32,2153,48.0
"[3, 17, 51, 32, 2161, 1148, 17]",51,32,2161,96.0
"[3, 17, 51, 32, 2179, 749, 11]",51,32,2179,12.0
"[3, 17, 51, 32, 2203, 1308, 19]",51,32,2203,12.0
"[3, 17, 51, 32, 2207, 2138, 31]",51,32,2207,12.0
"[3, 17, 51, 32, 2213, 899, 13]",51,32,2213,24.0
"[3, 17, 51, 32, 2221, 347, 5]",51,32,2221,24.0
"[3, 17, 51, 32, 2237, 1468, 21]",51,32,2237,24.0
"[3, 17, 51, 32, 2239, 2169, 31]",51,32,2239,12.0
"[3, 17, 51, 32, 2243, 771, 11]",51,32,2243,12.0
"[3, 17, 51, 32, 2251, 211, 3]",51,32,2251,12.0
"[3, 17, 51, 32, 2267, 1346, 19]",51,32,2267,12.0
"[3, 17, 51, 32, 2269, 1489, 21]",51,32,2269,24.0
"[3, 17, 51, 32, 2273, 71, 1]",51,32,2273,96.0
"[3, 17, 51, 32, 2281, 1782, 25]",51,32,2281,48.0
"[3, 17, 51, 32, 2287, 1072, 15]",51,32,2287,12.0
"[3, 17, 51, 32, 2293, 2078, 29]",51,32,2293,24.0
"[3, 17, 51, 32, 2297, 646, 9]",51,32,2297,48.0
"[3, 17, 51, 32, 2309, 938, 13]",51,32,2309,24.0
"[3, 17, 51, 32, 2311, 1661, 23]",51,32,2311,12.0
"[3, 17, 51, 32, 2333, 1531, 21]",51,32,2333,24.0
"[3, 17, 51, 32, 2339, 804, 11]",51,32,2339,12.0
"[3, 17, 51, 32, 2341, 951, 13]",51,32,2341,24.0
"[3, 17, 51, 32, 2347, 220, 3]",51,32,2347,12.0
"[3, 17, 51, 32, 2351, 1102, 15]",51,32,2351,12.0
"[3, 17, 51, 32, 2357, 2136, 29]",51,32,2357,24.0
"[3, 17, 51, 32, 2371, 815, 11]",51,32,2371,12.0
"[3, 17, 51, 32, 2377, 1857, 25]",51,32,2377,48.0
"[3, 17, 51, 32, 2381, 372, 5]",51,32,2381,24.0
"[3, 17, 51, 32, 2383, 1117, 15]",51,32,2383,12.0
"[3, 17, 51, 32, 2389, 2165, 29]",51,32,2389,24.0
"[3, 17, 51, 32, 2393, 673, 9]",51,32,2393,48.0
"[3, 17, 51, 32, 2399, 2324, 31]",51,32,2399,12.0
"[3, 17, 51, 32, 2411, 226, 3]",51,32,2411,12.0
"[3, 17, 51, 32, 2417, 1284, 17]",51,32,2417,96.0
"[3, 17, 51, 32, 2423, 530, 7]",51,32,2423,12.0
"[3, 17, 51, 32, 2437, 990, 13]",51,32,2437,24.0
"[3, 17, 51, 32, 2441, 1907, 25]",51,32,2441,48.0
"[3, 17, 51, 32, 2447, 1147, 15]",51,32,2447,12.0
"[3, 17, 51, 32, 2459, 1460, 19]",51,32,2459,12.0
"[3, 17, 51, 32, 2467, 848, 11]",51,32,2467,12.0
"[3, 17, 51, 32, 2473, 1932, 25]",51,32,2473,48.0
"[3, 17, 51, 32, 2477, 387, 5]",51,32,2477,24.0
"[3, 17, 51, 32, 2503, 1799, 23]",51,32,2503,12.0
"[3, 17, 51, 32, 2521, 709, 9]",51,32,2521,48.0
"[3, 17, 51, 32, 2531, 870, 11]",51,32,2531,12.0
"[3, 17, 51, 32, 2539, 238, 3]",51,32,2539,12.0
"[3, 17, 51, 32, 2543, 1192, 15]",51,32,2543,12.0
"[3, 17, 51, 32, 2549, 2310, 29]",51,32,2549,24.0
"[3, 17, 51, 32, 2551, 558, 7]",51,32,2551,12.0
"[3, 17, 51, 32, 2557, 1678, 21]",51,32,2557,24.0
"[3, 17, 51, 32, 2579, 2176, 27]",51,32,2579,12.0
"[3, 17, 51, 32, 2591, 2510, 31]",51,32,2591,12.0
"[3, 17, 51, 32, 2593, 81, 1]",51,32,2593,96.0
"[3, 17, 51, 32, 2609, 1386, 17]",51,32,2609,96.0
"[3, 17, 51, 32, 2617, 736, 9]",51,32,2617,48.0
"[3, 17, 51, 32, 2621, 1720, 21]",51,32,2621,24.0
"[3, 17, 51, 32, 2633, 2057, 25]",51,32,2633,48.0
"[3, 17, 51, 32, 2647, 579, 7]",51,32,2647,12.0
"[3, 17, 51, 32, 2657, 83, 1]",51,32,2657,96.0
"[3, 17, 51, 32, 2659, 914, 11]",51,32,2659,12.0
"[3, 17, 51, 32, 2663, 1914, 23]",51,32,2663,12.0
"[3, 17, 51, 32, 2671, 1252, 15]",51,32,2671,12.0
"[3, 17, 51, 32, 2677, 2426, 29]",51,32,2677,24.0
"[3, 17, 51, 32, 2683, 1593, 19]",51,32,2683,12.0
"[3, 17, 51, 32, 2687, 2603, 31]",51,32,2687,12.0
"[3, 17, 51, 32, 2689, 84, 1]",51,32,2689,96.0
"[3, 17, 51, 32, 2693, 1094, 13]",51,32,2693,24.0
"[3, 17, 51, 32, 2699, 253, 3]",51,32,2699,12.0
"[3, 17, 51, 32, 2707, 2284, 27]",51,32,2707,12.0
"[3, 17, 51, 32, 2711, 593, 7]",51,32,2711,12.0
"[3, 17, 51, 32, 2713, 763, 9]",51,32,2713,48.0
"[3, 17, 51, 32, 2719, 2634, 31]",51,32,2719,12.0
"[3, 17, 51, 32, 2729, 2132, 25]",51,32,2729,48.0
"[3, 17, 51, 32, 2731, 256, 3]",51,32,2731,12.0
"[3, 17, 51, 32, 2741, 2484, 29]",51,32,2741,24.0
"[3, 17, 51, 32, 2749, 1804, 21]",51,32,2749,24.0
"[3, 17, 51, 32, 2753, 86, 1]",51,32,2753,96.0
"[3, 17, 51, 32, 2767, 1297, 15]",51,32,2767,12.0
"[3, 17, 51, 32, 2777, 781, 9]",51,32,2777,48.0
"[3, 17, 51, 32, 2789, 1133, 13]",51,32,2789,24.0
